status,title,company,location,date,blurb,tags,link,id,provider,query,locale,wage,remoteness
NEW,Direct Data Entry Operator,WESTAMERICA BANK,"Fairfield, CA 94534",2024-10-17,"As a Direct Data Entry Operator, under general supervision, perform centralized data entry maintenance to new and existing accounts on the IMPACS, ST, IC, HX, and TX systems and respond to requests…","Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=9af5925791536fd2,IndeedScraperUSAEng_9af5925791536fd2,IndeedScraperUSAEng,Data,USA_ENGLISH,$16 - $17.07 hourly,UNKNOWN
NEW,Cloud Data Architect-Director,CEDENT,"San Francisco, CA",2024-10-03,"Provide data engineers, quant engineers and researchers with technical advice and guidance on the best data practices on cloud. Expert knowledge of data modelling and understanding of different data…","Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=66827a8f8e70c0e9,IndeedScraperUSAEng_66827a8f8e70c0e9,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN
NEW,Data Aide 2,Stanford University,"Stanford, CA",2024-10-03,"Develop and apply novel clinical data curation techniques and approaches to departmental surgical data. The successful candidate will have some knowledge of health care data, data management, and…","Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=db7d847fbf8a9612,IndeedScraperUSAEng_db7d847fbf8a9612,IndeedScraperUSAEng,Data,USA_ENGLISH,$31.21 - $35.6 hourly,UNKNOWN
NEW,Field Applications Engineer - Data Center,Amphenol TCS,"Santa Clara, CA",2024-10-22,"Amphenol High Speed and Commercial Products Groups are the market leaders for high speed, high bandwidth electrical connectors for the Telecom/Datacom and Diverse markets (Mobile Networks, Storage,…","Benefits: Paid holidays, Disability insurance, Health insurance, Dental insurance, Vision insurance, 401(k) matching, Benefits from day one, Life insurance",https://www.indeed.com/m/viewjob?jk=cfb3f4f072371529,IndeedScraperUSAEng_cfb3f4f072371529,IndeedScraperUSAEng,Data,USA_ENGLISH,$80750 - $148870 yearly,UNKNOWN
NEW,"Analyst, YouthTruth",CEP Global,"San Francisco, CA",2024-10-03,"Over time, contribute insights to new features and processes to improve the efficiency of survey administration, data analysis, and data visualization. Process and Product Development (20%).","Benefits: Dental insurance, 401(k), Flexible spending account, Paid time off, Vision insurance, Life insurance",https://www.indeed.com/m/viewjob?jk=9365df687b5694e9,IndeedScraperUSAEng_9365df687b5694e9,IndeedScraperUSAEng,Data,USA_ENGLISH,$90756 - $90756 yearly,UNKNOWN
NEW,"Applied Scientist, Frontier AI & Robotics",Amazon.com Services LLC,"San Francisco, CA",2024-10-24,"PhD in engineering, technology, computer science, machine learning, robotics, operations research, statistics, mathematics or equivalent quantitative field. Medical, Dental, and Vision Coverage.","Job types: Full-time
Benefits: Health insurance, Dental insurance, Paid time off, Parental leave, Vision insurance
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=b406677342fbc627,IndeedScraperUSAEng_b406677342fbc627,IndeedScraperUSAEng,Data,USA_ENGLISH,$136000 - $222200 yearly,UNKNOWN
NEW,Clinical Data Specialist,BAKER PLACES,"San Francisco, CA 94103",2024-10-22,"Provide data entry of QM data into the quality database. Audit clinical record data on a regular basis to ensure data integrity, quality, identify data anomalies, and enter results into databases.",,https://www.indeed.com/m/viewjob?jk=24e99653b5799f0b,IndeedScraperUSAEng_24e99653b5799f0b,IndeedScraperUSAEng,Data,USA_ENGLISH,$68000 - $75000 yearly,UNKNOWN
NEW,Data Collector,SAS Retail Services,"Santa Rosa, CA 95409",2024-11-01,"We display it, we move it, we track it; making sure stores and their product suppliers have the best opportunities for optimal sales. With thorough training on plan-o-gram interpretation, our…","Job types: Part-time
Benefits: Health insurance, Dental insurance, Vision insurance, Life insurance
Job types cc: Part-time",https://www.indeed.com/m/viewjob?jk=acb9d5ed39e715a9,IndeedScraperUSAEng_acb9d5ed39e715a9,IndeedScraperUSAEng,Data,USA_ENGLISH,$20 - $20 hourly,UNKNOWN
NEW,Database Developer,"Payactiv, Inc.","Milpitas, CA 95035",2024-10-29,"Implement SSIS and SSRS for data integration and reporting. Proficiency in working with data lakes such as Snowflake is a plus. Maintain and enforce database standards, ensuring data integrity and…",,https://www.indeed.com/m/viewjob?jk=646926939bf9903e,IndeedScraperUSAEng_646926939bf9903e,IndeedScraperUSAEng,Data,USA_ENGLISH,$175000 - $195000 yearly,UNKNOWN
NEW,Data Scientist (Technical Leadership),Meta,"San Francisco, CA 94105",2024-10-03,"Communication and influence: You won’t simply present data, but tell data-driven stories. Analytics: You will guide teams using data and insights. Apply technical expertise with quantitative analysis,…",,https://www.indeed.com/m/viewjob?jk=74a32ea8933269b1,IndeedScraperUSAEng_74a32ea8933269b1,IndeedScraperUSAEng,Data,USA_ENGLISH,$206000 - $281000 yearly,UNKNOWN
NEW,Analytics and AI Integration Engineer,"CXApp US, Inc.","San Ramon, CA 94583",2024-10-03,"Analytics: Implement data analytics solutions to gather insights, monitor system performance, and drive data-driven decision-making. AI Integration: Collaborate with data scientists and AI developers…","Job types: Full-time
Benefits: Health insurance, Dental insurance, Retirement plan
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=affd8a2b8729f2df,IndeedScraperUSAEng_affd8a2b8729f2df,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN
NEW,Database Manager - Philanthropy Dept.,Internet Archive,"San Francisco, CA",2024-10-03,Knowledge of importing sales or fundraising data and generating fundraising reports. Focus on analyzing data with the director to drive strategies related to improved engagement and fundraising.,"Job types: Full-time
Benefits: Commuter assistance, Health savings account, Paid holidays, Disability insurance, Health insurance, Dental insurance, Paid time off, Vision insurance
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=8cc1e16f62a42cf3,IndeedScraperUSAEng_8cc1e16f62a42cf3,IndeedScraperUSAEng,Data,USA_ENGLISH,$75000 - $90000 yearly,UNKNOWN
NEW,"Director, QA Data Analytics",Abbott Laboratories,"Alameda, CA",2024-10-18,"Establish Data Governance Program for data & analytic initiatives to enable One Quality System, Safeguard and Industry 4.0. Build automated analysis and reporting of key performance metrics, reducing…","Job types: Full-time
Benefits: Health insurance, Tuition reimbursement, Retirement plan
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=71f93039e6950725,IndeedScraperUSAEng_71f93039e6950725,IndeedScraperUSAEng,Data,USA_ENGLISH,$164900 - $329700 yearly,UNKNOWN
NEW,Project Manager -Data Center Construction,Woodford Properties Inc,"San Jose, CA 95110",2024-10-16,"Understanding of data center design, including power and cooling systems. Define the scope, goals, and deliverables of the data center project. Experience: At least 5-7 years of project management…","Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=698fc42e2b01ab91,IndeedScraperUSAEng_698fc42e2b01ab91,IndeedScraperUSAEng,Data,USA_ENGLISH,$130000 - $130000 yearly,UNKNOWN
NEW,"Senior Software Engineer - Data Governance Solutions, Data Platform",Apple,"Cupertino, CA",2024-10-10,Strong in data structures and algorithms. This role involves managing petabytes of data and designing and implementing new frameworks to build scalable and efficient data processing workflows.,"Benefits: Employee stock purchase plan, Health insurance, Dental insurance, RSU, Retirement plan",https://www.indeed.com/m/viewjob?jk=d90b55142bef9018,IndeedScraperUSAEng_d90b55142bef9018,IndeedScraperUSAEng,Data,USA_ENGLISH,$175800 - $312200 yearly,UNKNOWN
NEW,AI/ML Data Engineering Lead (Specialist Master) - SFL Scientific,Deloitte,"San Francisco, CA",2024-10-03,"Leverage advanced technical skills in modern data architecture, data science engineering, data transformation, and management of structured and unstructured data sources using cloud computing or on…","Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=164e156e8ede41da,IndeedScraperUSAEng_164e156e8ede41da,IndeedScraperUSAEng,Data,USA_ENGLISH,$151800 - $253000 yearly,UNKNOWN
NEW,Machine Learning Engineer,Adobe,"San Francisco, CA 94103",2024-10-25,Adobe Stock’s content Intelligence team sits at the heart of Adobe’s creative ecosystem. As a Machine Learning Engineer you will lead the design of ML models and systems.,"Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=c75b915e5c7c3a71,IndeedScraperUSAEng_c75b915e5c7c3a71,IndeedScraperUSAEng,Data,USA_ENGLISH,$135200 - $250900 yearly,UNKNOWN
