status,title,company,location,date,blurb,tags,link,id,provider,query,locale,wage,remoteness
NEW,Principal Clinical Data Manager,TK-CHAIN LLC,"Princeton, NJ 08540",2024-11-01,"Develop, review and maintain project-specific DM documents including data management plans (DMP), eCRF, data validation plan (DVP) and external data transfer agreements throughout the lifecycle of the…","Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=763cc61c158ab17d,IndeedScraperUSAEng_763cc61c158ab17d,IndeedScraperUSAEng,Data,USA_ENGLISH,$60000 - $120000 yearly,UNKNOWN
NEW,Jr. Web Application Data Engineer,GEI Consultants,"Mount Laurel, NJ 08054",2024-10-13,Description Your role at GEI. The Jr. Web Application Data Engineer position is responsible for the development and support of web applications that are highly data centric. This position goes…,"Job types: Full-time
Remote: Hybrid work
Benefits: Profit sharing, Commuter assistance, Paid parental leave, Paid holidays, Health insurance, Dental insurance, 401(k), Tuition reimbursement, Paid time off, Cell phone reimbursement, Parental leave, Vision insurance, Opportunities for advancement
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=f1188dad330e0ce7,IndeedScraperUSAEng_f1188dad330e0ce7,IndeedScraperUSAEng,Data,USA_ENGLISH,$25 - $32 hourly,TEMPORARILY_REMOTE
NEW,Data Integration Developer (100% Remote),"MEDLOGIX, LLC","Lansdale, PA 19446",2024-10-13,"Work with project stakeholders to develop workflows and data formats that address the project requirements. Assist in daily administration activities including monitoring, support, and maintenance of…",Remote: Remote,https://www.indeed.com/m/viewjob?jk=e24ec2302093e938,IndeedScraperUSAEng_e24ec2302093e938,IndeedScraperUSAEng,Data,USA_ENGLISH,,FULLY_REMOTE
NEW,"Sports Data Operator - Baseball/Softball (Yaphank, NY)",Realplay,"Yaphank, NY 11980",2024-10-13,"Realplay delivers video of every swing, pitch, and defensive play that any player makes on a baseball or softball field. Attend Realplay's partner facility ""Lasorda Legacy Park"", in Yaphank NY to…",,https://www.indeed.com/m/viewjob?jk=d9dc8ee215c4932e,IndeedScraperUSAEng_d9dc8ee215c4932e,IndeedScraperUSAEng,Data,USA_ENGLISH,$15 - $16 hourly,UNKNOWN
NEW,2024-2025 Tenure-Track Positions in Artificial Intelligence,New York University,"New York, NY 10012",2024-10-25,"We are looking for outstanding individuals working in a broad set of areas of AI, including, but not limited to, machine learning, natural language processing, computer vision, robotics, systems, and…",Job types cc: Tenure track,https://www.indeed.com/m/viewjob?jk=f3e3337addc62240,IndeedScraperUSAEng_f3e3337addc62240,IndeedScraperUSAEng,Data,USA_ENGLISH,$125000 - $325000 yearly,UNKNOWN
NEW,Data Entry Clerk,Allports Logistics,"Linden, NJ 07036",2024-10-13,Perform regular backups of data. Confirm accuracy of data by comparing to original documents. Create reports or otherwise retrieve data from the database. Skilled in Microsoft Word and Excel.,"Job types: Full-time
Benefits: Paid time off, Opportunities for advancement
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=bf324f0f1e4b0805,IndeedScraperUSAEng_bf324f0f1e4b0805,IndeedScraperUSAEng,Data,USA_ENGLISH,$17 - $17 hourly,UNKNOWN
NEW,PAM DATA ENTRY CLERK,HRA/DEPT OF SOCIAL SERVICES,"Manhattan, NY 10038",2024-10-13,Review and check Turn Around Document (TAD) for completeness to ensure accuracy of data entries and make corrections when necessary; enter information received from source documents for data entry.,"Job types: Full-time
Job types cc: Full-time
Schedules: Monday to Friday",https://www.indeed.com/m/viewjob?jk=1f3b99607828685a,IndeedScraperUSAEng_1f3b99607828685a,IndeedScraperUSAEng,Data,USA_ENGLISH,$39763 - $45728 yearly,UNKNOWN
NEW,Booth Attendant / Data Entry Clerk,Sarcona Management,"Newark, NJ 07105",2024-10-13,"Port Kearny is seeking Full-Time/Part-Time lot attendants who will be responsible for capturing specific data points for each unit entering/exiting the grounds, ensuring a neat and orderly parking…","Job types: Full-time
Shifts: 12 hour shift, Overnight shift, Night shift, Day shift
Benefits: Health insurance, Dental insurance, 401(k), Paid time off, On-the-job training, Vision insurance, Flexible schedule, Life insurance, Referral program
Job types cc: Full-time
Schedules: 12 hour shift, Overtime, Weekends as needed, Overnight shift, Night shift, Every weekend, Day shift, Monday to Friday, Holidays",https://www.indeed.com/m/viewjob?jk=e597326314348314,IndeedScraperUSAEng_e597326314348314,IndeedScraperUSAEng,Data,USA_ENGLISH,$17 - $20 hourly,UNKNOWN
NEW,IIS Data Specialist,Health Federation Of Philadelphia,"Philadelphia, PA 19107",2024-10-24,"The Data Specialist will also be responsible for making corrections to other IIS data, such as lot numbers, vaccine administration data and or other IIS data as required.","Job types: Full-time
Benefits: AD&D insurance, Disability insurance, Health insurance, Dental insurance, Flexible spending account, Paid time off, Employee assistance program, Vision insurance, 403(b)
Job types cc: Full-time
Schedules: Weekends as needed, Monday to Friday",https://www.indeed.com/m/viewjob?jk=13073dbd2b85bb07,IndeedScraperUSAEng_13073dbd2b85bb07,IndeedScraperUSAEng,Data,USA_ENGLISH,$50000 - $52000 yearly,UNKNOWN
NEW,Clinical Data Manager,Katalyst Healthcares & Life Sciences,"Princeton, NJ 08540",2024-10-13,Responsibilities: Lead the creation of the Data Review and Cleaning Plan and development of the data cleaning strategy. Provide oversight of the data validation plan and provide DM insight to…,"Job types: Contract
Job types cc: Contract",https://www.indeed.com/m/viewjob?jk=46e19a911c493033,IndeedScraperUSAEng_46e19a911c493033,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN
NEW,Data Entry Specialist,Hispanic Health Council,"Hartford, CT 06106",2024-10-13,Job Description The Hispanic Health Council is looking for an experiences Data Entry Specialist to join our Youth Services Program. The Data Entry Specialist will support the Extended Learning…,,https://www.indeed.com/m/viewjob?jk=40bb96a9d86d1f1f,IndeedScraperUSAEng_40bb96a9d86d1f1f,IndeedScraperUSAEng,Data,USA_ENGLISH,$20 - $-1 hourly,UNKNOWN
NEW,Intake & Data Integrity Specialist,Fortune Society Inc,"Long Island City, NY 11101",2024-10-13,"This is a growth position for the right candidate who can input, aggregate, and analyze multiple data points, anticipates the logical next step and can work closely with senior management to use data…","Job types: Full-time
Job types cc: Full-time
Schedules: Monday to Friday",https://www.indeed.com/m/viewjob?jk=3b1afa12d58aef16,IndeedScraperUSAEng_3b1afa12d58aef16,IndeedScraperUSAEng,Data,USA_ENGLISH,$70000 - $75000 yearly,UNKNOWN
NEW,Data Entry Clerk,Smoking Sales LLC,"Jersey City, NJ 07305",2024-10-13,Benefits: Competitive salary Dental insurance Employee discounts Health insurance Opportunity for advancement Paid time off Vision insurance Benefits/Perks Competitive Compensation Paid Time Off…,"Job types: Full-time
Benefits: Health insurance, Dental insurance, Paid time off, Vision insurance, Employee discount, Opportunities for advancement
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=58da44bfa9ce87ce,IndeedScraperUSAEng_58da44bfa9ce87ce,IndeedScraperUSAEng,Data,USA_ENGLISH,$15 - $18 hourly,UNKNOWN
