status,title,company,location,date,blurb,tags,link,id,provider,query,locale,wage,remoteness
NEW,Lead Architect - SAP Data Volume Management,McKesson,"Irving, TX 75039",2024-10-17,"Implement best practices for data archiving to improve SAP system performance and data retrieval efficiency. Develop guidelines for data retention policies, archiving processes, and data purging…",,https://www.indeed.com/m/viewjob?jk=9fe28c72d7550adf,IndeedScraperUSAEng_9fe28c72d7550adf,IndeedScraperUSAEng,Data,USA_ENGLISH,$145700 - $242900 yearly,UNKNOWN
NEW,"Principal Controls Engineer, NA",Vantage Data Centers,"Dallas, TX",2024-10-16,Champion data-driven optimization of data center performance and sustainability. Ensure the design and implementation of advanced data center control systems. Control System Design and Standards:,"Job types: Full-time
Remote: Remote
Benefits: Health insurance
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=7d2459694233c18b,IndeedScraperUSAEng_7d2459694233c18b,IndeedScraperUSAEng,Data,USA_ENGLISH,,FULLY_REMOTE
NEW,ServiceNow Technical Architect,NTT DATA,"Plano, TX 75086",2024-11-05,"Experience implementing monitoring, quality assurance, data validation processes in a relational and big data environment (metrics-driven reliability and performance).","Remote: Remote
Benefits: Health savings account, AD&D insurance, Disability insurance, Health insurance, Dental insurance, Paid time off, Vision insurance, 401(k) matching",https://www.indeed.com/m/viewjob?jk=926779aba8ab42ad,IndeedScraperUSAEng_926779aba8ab42ad,IndeedScraperUSAEng,Data,USA_ENGLISH,$90 - $128 hourly,FULLY_REMOTE
NEW,"Principal Full Stack Engineer (Database, GraphQL, API)",Fidelity Investments,"Westlake, TX 76262",2024-10-26,Exploring new technology trends and using them to simplify our data ecosystem. 2+ years of experience in developing data applications in Cloud (AWS). Personalization Engineering team (part of Fidelity…,,https://www.indeed.com/m/viewjob?jk=4f2d54d10d4bf1ad,IndeedScraperUSAEng_4f2d54d10d4bf1ad,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN
NEW,Life and Insurance Technical SME,NTT DATA,"Dallas, TX 75215",2024-10-13,"Our services include business and technology consulting, data and artificial intelligence, industry solutions, as well as the development, implementation and management of applications, infrastructure…","Job types: Full-time
Remote: Remote
Benefits: Health savings account, AD&D insurance, Disability insurance, Health insurance, Dental insurance, Paid time off, Vision insurance, 401(k) matching
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=22c68482288bd7a8,IndeedScraperUSAEng_22c68482288bd7a8,IndeedScraperUSAEng,Data,USA_ENGLISH,,FULLY_REMOTE
NEW,IBM OpenPages Application Developer,NTT DATA,"Irving, TX 75039",2024-10-29,OpenPages is used for internal audit systems as a tool for audit lifecycle activities. The candidate should be able to lead a team in the design and development of business modules using Open Pages…,"Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=1de34033a1f41deb,IndeedScraperUSAEng_1de34033a1f41deb,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN
NEW,SAP Business Analyst,"Azimuth, LLC","Richardson, TX",2024-11-08,"Ensure data accuracy within SAP MM and PP modules through audits and effective data management practices. Develop and execute comprehensive test plans, manage test data, and facilitate user acceptance…",,https://www.indeed.com/m/viewjob?jk=4a0739366613fda6,IndeedScraperUSAEng_4a0739366613fda6,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN
NEW,Director of Physical Security,Prime Data Centers,"Dallas, TX 75247",2024-11-08,"Frequent travel to various data center locations. Conduct regular security risk assessments, vulnerability analysis, and audits for all data center locations. Paid Time Off + Sick time.","Job types: Full-time
Benefits: Health insurance, Dental insurance, Paid time off, Vision insurance, Life insurance
Job types cc: Full-time
Schedules: On call",https://www.indeed.com/m/viewjob?jk=3cf77a20cfdb9655,IndeedScraperUSAEng_3cf77a20cfdb9655,IndeedScraperUSAEng,Data,USA_ENGLISH,$110000 - $180000 yearly,UNKNOWN
NEW,Business Analyst,Care.com,"Dallas, TX",2024-10-13,Provide data-driven recommendations to improve account strategies and client satisfaction. Strong analytical skills with the ability to interpret complex data and generate actionable insights.,"Remote: Hybrid work
Benefits: Paid holidays, Disability insurance, Health insurance, Paid time off, 401(k) matching",https://www.indeed.com/m/viewjob?jk=5cc39d8a7560380e,IndeedScraperUSAEng_5cc39d8a7560380e,IndeedScraperUSAEng,Data,USA_ENGLISH,$100000 - $110000 yearly,TEMPORARILY_REMOTE
NEW,Mongo DB Engineer,Wipro Limited,"Plano, TX",2024-11-09,"Hands-on experience with Python, Unix/KSH shell scripting or PowerShell. Hands-on experience with Oracle or MSSQL or other RDBMS. Hands-on experience product certifications.","Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=5bbd7e6ca54e3e29,IndeedScraperUSAEng_5bbd7e6ca54e3e29,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN
