status,title,company,location,date,blurb,tags,link,id,provider,query,locale,wage,remoteness
NEW,Database Sustainment Specialist (DSS),DAWSON,"Fairfield, CA",2024-11-07,"Verifies entered customer and account data by reviewing, updating, and archiving files to eliminate duplication of data. Perform quality assurance by ensuring the accuracy of reporting data.","Benefits: AD&D insurance, Health insurance, Dental insurance, Employee assistance program, Vision insurance, 401(k) matching, Pet insurance",https://www.indeed.com/m/viewjob?jk=3e66daceca78a34d,IndeedScraperUSAEng_3e66daceca78a34d,IndeedScraperUSAEng,Data,USA_ENGLISH,$45000 - $60000 yearly,UNKNOWN
NEW,Senior Data Engineer,Babylist,"Emeryville, CA",2024-10-13,"Who We Are Babylist is the trusted platform for millions of growing families. For over a decade, Babylist has been the technology solution for expecting parents and the community that supports them…","Remote: Remote
Benefits: Paid parental leave, Health insurance, Dental insurance, Flexible spending account, Paid time off, Parental leave, Vision insurance, 401(k) matching, Opportunities for advancement",https://www.indeed.com/m/viewjob?jk=999aa71b3b9219c6,IndeedScraperUSAEng_999aa71b3b9219c6,IndeedScraperUSAEng,Data,USA_ENGLISH,$133000 - $199408 yearly,FULLY_REMOTE
NEW,Data Scientist - San Francisco,Rad Hires,"Stockton, CA",2024-10-13,Work with large datasets and perform data analysis. Develop and implement data science models to solve business problems. Work with other team members to develop and implement data science solutions.,"Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=e40e3b551bb3bbc6,IndeedScraperUSAEng_e40e3b551bb3bbc6,IndeedScraperUSAEng,Data,USA_ENGLISH,$150000 - $170000 yearly,UNKNOWN
NEW,Data Scientist - San Francisco,Rad Hires,"Modesto, CA",2024-10-13,Work with large datasets and perform data analysis. Develop and implement data science models to solve business problems. Work with other team members to develop and implement data science solutions.,"Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=2e2c681ce934634b,IndeedScraperUSAEng_2e2c681ce934634b,IndeedScraperUSAEng,Data,USA_ENGLISH,$150000 - $170000 yearly,UNKNOWN
NEW,"Data Management Specialist | Fresno/Stockton, CA (PC)","Eocene Environmental Group, Inc.","Stockton, CA",2024-10-13,Analysis of the database for quality assurance and data integrity. Meet with client to outline and implement data collection/reporting changes. Experience with Microsoft Office and data collection…,"Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=42499e59a202e6d9,IndeedScraperUSAEng_42499e59a202e6d9,IndeedScraperUSAEng,Data,USA_ENGLISH,$23 - $27 hourly,UNKNOWN
NEW,Data Center IT Infrastructure Technician,"NTT Global Data Centers Americas, Inc.","Sacramento, CA 95834",2024-11-07,"Make an impact with NTT DATA Join a company that is pushing the boundaries of what is possible. We are renowned for our technical excellence and leading innovations, and for making a difference to…","Job types: Full-time
Shifts: Rotating shift
Benefits: Disability insurance, Health insurance, Dental insurance, 401(k), Flexible spending account, Paid time off, Vision insurance
Job types cc: Full-time
Schedules: Rotating shift",https://www.indeed.com/m/viewjob?jk=50be61e8cfeefaf8,IndeedScraperUSAEng_50be61e8cfeefaf8,IndeedScraperUSAEng,Data,USA_ENGLISH,$28.8 - $34.7 hourly,UNKNOWN
NEW,Accounting and Data Analyst,Community Health Trust of Pajaro Valley,"Watsonville, CA 95076",2024-10-19,"Experience with MS Access and data analysis software is a plus. Advanced skills in Excel, including complex formulas, pivot tables, and data modeling. Reports to: | Director of Financial Operations.","Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=0440573a59561095,IndeedScraperUSAEng_0440573a59561095,IndeedScraperUSAEng,Data,USA_ENGLISH,$58000 - $75000 yearly,UNKNOWN
NEW,Data Scientist,Vivo,"San Mateo, CA",2024-10-13,"Our client, an autonomous driving vehicle company is looking for a Data Scientist that will leverage their operations, product use, and user experience data to enhance performance and service…",,https://www.indeed.com/m/viewjob?jk=7926a06f04ebe7c6,IndeedScraperUSAEng_7926a06f04ebe7c6,IndeedScraperUSAEng,Data,USA_ENGLISH,$80 - $90 hourly,UNKNOWN
NEW,Data Center Technician I (Overnight Shift) SV7,CoreSite,"Santa Clara, CA",2024-11-06,"Technicians will learn and gain experience through assisting more experienced data center technicians in day to day operations of the data center including security functions, general site response…","Job types: Full-time
Shifts: Overnight shift
Benefits: Free parking, Health savings account, AD&D insurance, Employee stock purchase plan, Paid holidays, Disability insurance, Health insurance, Dental insurance, 401(k), Flexible spending account, Tuition reimbursement, Paid time off, Parental leave, Employee assistance program, Vision insurance, Pet insurance
Job types cc: Full-time
Schedules: Weekends as needed, Overnight shift, Holidays, On call",https://www.indeed.com/m/viewjob?jk=8973eea375ea9b54,IndeedScraperUSAEng_8973eea375ea9b54,IndeedScraperUSAEng,Data,USA_ENGLISH,$25 - $28 hourly,UNKNOWN
NEW,KEY DATA OPERATOR,Franchise Tax Board,"Sacramento County, CA",2024-11-05,"Under the close supervision of the Tax Program Supervisor in the Information Capture and Banking Section, the Key Data Operator performs data entry on various workloads in a production environment.","Job types: Full-time
Shifts: 8 hour shift, Day shift
Benefits: Free parking
Job types cc: Permanent, Full-time
Schedules: 8 hour shift, Overtime, Weekends as needed, Day shift, Monday to Friday, Holidays",https://www.indeed.com/m/viewjob?jk=982ab4d8e057fc0a,IndeedScraperUSAEng_982ab4d8e057fc0a,IndeedScraperUSAEng,Data,USA_ENGLISH,$3075 - $4373 monthly,UNKNOWN
NEW,Senior Data Analyst,Face Reality Skincare,"Danville, CA",2024-10-13,Senior Data Analyst About Face Reality Face Reality Skincare was created with one goal: to give people clear skin and confidence. With over 50 million people suffering from the physical and…,,https://www.indeed.com/m/viewjob?jk=9daf1fae0c3428e2,IndeedScraperUSAEng_9daf1fae0c3428e2,IndeedScraperUSAEng,Data,USA_ENGLISH,$120000 - $140000 yearly,UNKNOWN
NEW,Data Center Tech L3,"Milestone Technologies, Inc.","Santa Clara, CA",2024-10-26,"Perform inventory management and data entry with keen attention to detail. The Move, Add, Change Technician is a part-time role dedicated to relocation, deployment and support projects for Milestone…","Job types: Part-time
Job types cc: Part-time",https://www.indeed.com/m/viewjob?jk=dc9d43d076cc6a05,IndeedScraperUSAEng_dc9d43d076cc6a05,IndeedScraperUSAEng,Data,USA_ENGLISH,$25.83 - $30 hourly,UNKNOWN
NEW,Financial Data Analyst,"8x8, Inc.","Campbell, CA",2024-11-07,"Experience querying and analyzing data using SQL. FP&A experience with a demonstrated aptitude for learning data systems. Drive current quarter revenue modeling, leveraging your skills to organize…","Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=aa85a766784066df,IndeedScraperUSAEng_aa85a766784066df,IndeedScraperUSAEng,Data,USA_ENGLISH,$117750 - $196250 yearly,UNKNOWN
NEW,Data Center Chief Engineer,Element Critical,"Sunnyvale, CA",2024-10-13,"5+ years of relevant work experience in a data center or other critical environment. Responsible for reviewing records of buildings rounds and readings, all engineering logs and engineering data…","Benefits: Paid parental leave, Health savings account, Paid holidays, Disability insurance, Health insurance, Dental insurance, 401(k), Flexible spending account, 401(k) 4% Match, Parental leave, Vision insurance, 401(k) matching, Life insurance, Referral program",https://www.indeed.com/m/viewjob?jk=f639daf69bfb11ff,IndeedScraperUSAEng_f639daf69bfb11ff,IndeedScraperUSAEng,Data,USA_ENGLISH,$130000 - $144000 yearly,UNKNOWN
NEW,Data Entry Clerk,Probate Advance,"Monterey, CA 93940",2024-10-28,"In addition, there will be training on identifying and obtaining detailed documents/records. Must have a laptop computer that you can bring with you. Must be able to type quickly and efficiently.","Job types: Contract
Shifts: Day shift
Job types cc: Contract
Schedules: Day shift",https://www.indeed.com/m/viewjob?jk=fc26e8f94d40bdab,IndeedScraperUSAEng_fc26e8f94d40bdab,IndeedScraperUSAEng,Data,USA_ENGLISH,$15 - $20 hourly,UNKNOWN
NEW,Product Data Scientist,PayPal,"San Jose, CA",2024-10-13,"Influence product direction and strategic decisions through data-driven insights. This team empowers senior leadership with actionable insights for informed, data-driven decisions.","Job types: Full-time
Remote: Hybrid work
Benefits: Health insurance, Dental insurance, Vision insurance, Life insurance
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=93e39ce678deb045,IndeedScraperUSAEng_93e39ce678deb045,IndeedScraperUSAEng,Data,USA_ENGLISH,$72700 - $176000 yearly,TEMPORARILY_REMOTE
NEW,"Staff Data Scientist, Member Insights",SoFi,"San Francisco, CA",2024-10-13,"Employee Applicant Privacy Notice Who we are: Shape a brighter financial future with us. Together with our members, we're changing the way people think about and interact with personal finance.…",,https://www.indeed.com/m/viewjob?jk=cabf6ca4962aca71,IndeedScraperUSAEng_cabf6ca4962aca71,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN
NEW,Image Workstation Operator II - (Data Entry),Farmers & Merchants Bank of Central California,"Lodi, CA 95240",2024-10-13,"Image Workstation Operator II - Data Entry. Employment Status: Full-Time (32) Hours, Non-Exempt - Benefited. Daily. End times vary between 6:30pm and *. Verify and clear branches for release.","Job types: Part-time
Benefits: Health savings account, Health insurance, Dental insurance, 401(k), Flexible spending account, Tuition reimbursement, Paid time off, Parental leave, Employee assistance program, Vision insurance, Employee discount, Professional development assistance, Life insurance, Referral program, Retirement plan
Job types cc: Part-time
Schedules: Overtime",https://www.indeed.com/m/viewjob?jk=920c9d4de0434e4f,IndeedScraperUSAEng_920c9d4de0434e4f,IndeedScraperUSAEng,Data,USA_ENGLISH,$20 - $21.76 hourly,UNKNOWN
NEW,Data Center Technician I (SV8 Overnight Shift),CoreSite,"Santa Clara, CA",2024-10-16,"Technicians will learn and gain experience through assisting more experienced data center technicians in day to day operations of the data center including security functions, general site response…","Job types: Full-time
Shifts: Overnight shift
Benefits: Free parking, Health savings account, AD&D insurance, Employee stock purchase plan, Paid holidays, Disability insurance, Health insurance, Dental insurance, 401(k), Flexible spending account, Tuition reimbursement, Paid time off, Parental leave, Employee assistance program, Vision insurance, Pet insurance
Job types cc: Full-time
Schedules: Weekends as needed, Overnight shift, Holidays, On call",https://www.indeed.com/m/viewjob?jk=26f3347e26446810,IndeedScraperUSAEng_26f3347e26446810,IndeedScraperUSAEng,Data,USA_ENGLISH,$25 - $28 hourly,UNKNOWN
NEW,Data Researcher (Part-Time),SportTechie,"San Jose, CA",2024-10-13,Work closely with SportTechie team to complete research and data management projects. Strategize with SportTechie team regarding data management procedures and marketing and audience development…,"Job types: Part-time
Benefits: Flexible schedule
Job types cc: Part-time",https://www.indeed.com/m/viewjob?jk=c8710a798affe873,IndeedScraperUSAEng_c8710a798affe873,IndeedScraperUSAEng,Data,USA_ENGLISH,$25 - $25 hourly,UNKNOWN
NEW,Micro-Solder / Flash Data Recovery Technician,DriveSavers Data Recovery,"Novato, CA 94949",2024-10-13,"Small business with a work environment that feels like a family, while also being known as the leader in data recovery. We are seeking an organized technician with micro-soldering, solid-state, and…","Job types: Full-time
Benefits: Paid training, Paid parental leave, Paid holidays, Health insurance, Dental insurance, 401(k), Parental leave, Vision insurance
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=9af64828b2ff479f,IndeedScraperUSAEng_9af64828b2ff479f,IndeedScraperUSAEng,Data,USA_ENGLISH,$42000 - $55000 yearly,UNKNOWN
NEW,Senior Data Center Engineer,Eon Systems,"San Francisco, CA",2024-10-13,"Expertise in high-throughput data systems capable of handling multi-Gbps data streams. Build a data processing pipeline that can handle 400 Gbps data from hundreds of scientific cameras, process the…","Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=a39e4dcafd809b94,IndeedScraperUSAEng_a39e4dcafd809b94,IndeedScraperUSAEng,Data,USA_ENGLISH,$174000 - $174000 yearly,UNKNOWN
NEW,"Sr. Data Scientist, Monetization",Pinterest,"San Francisco, CA",2024-10-13,"About Pinterest: Millions of people across the world come to Pinterest to find new ideas every day. It's where they get inspiration, dream about new possibilities and plan for what matters most.…",,https://www.indeed.com/m/viewjob?jk=516dddd7b0ac73e5,IndeedScraperUSAEng_516dddd7b0ac73e5,IndeedScraperUSAEng,Data,USA_ENGLISH,$145258 - $254024 yearly,UNKNOWN
NEW,Master Data Coordinator,Jelly Belly Candy Company,"Fairfield, CA 94534",2024-10-13,"SUMMARY Reporting to the Vice President of Global IT, this position is responsible for ERP master data management including additions, changes and overall accuracy. Master data includes but is not…",,https://www.indeed.com/m/viewjob?jk=b365278e83f79e92,IndeedScraperUSAEng_b365278e83f79e92,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN
NEW,Public Health Systems and Data Analyst,Heluna Health,"Richmond, CA 94804",2024-10-13,CEIP is a program administered by Heluna Health. CEIP functions under a cooperative agreement with the Centers for Disease Control and Prevention (CDC) and is a collaborative effort involving the…,"Job types: Full-time
Remote: Hybrid work
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=a73553e452472a4e,IndeedScraperUSAEng_a73553e452472a4e,IndeedScraperUSAEng,Data,USA_ENGLISH,$90000 - $97000 yearly,TEMPORARILY_REMOTE
NEW,Data Collection Technician,Dyna Robotics Inc.,"San Jose, CA 95128",2024-11-02,Experience with data annotation tools and methodologies. Maintain detailed logs of activities and data collected for continuous improvement and analysis. 30 - 35 USD per hour(Redwood City).,"Job types: Contract
Job types cc: Contract",https://www.indeed.com/m/viewjob?jk=38efe2075f8ba7df,IndeedScraperUSAEng_38efe2075f8ba7df,IndeedScraperUSAEng,Data,USA_ENGLISH,$30 - $35 hourly,UNKNOWN
NEW,Data Center Break/Fix Technician,"Maintech, Incorporated","Santa Clara, CA",2024-10-15,Conduct routine audits of data center equipment. Collaborate with cross-functional teams to ensure seamless data center operations. The ideal candidate will be responsible for maintaining the…,"Job types: Full-time
Job types cc: Full-time
Schedules: Monday to Friday",https://www.indeed.com/m/viewjob?jk=807a0ae928d6d967,IndeedScraperUSAEng_807a0ae928d6d967,IndeedScraperUSAEng,Data,USA_ENGLISH,$32 - $35 hourly,UNKNOWN
NEW,Product Data Analyst,Inkitt,"San Francisco, CA",2024-10-13,"Inkitt is building the Disney of the 21st Century, standing at the forefront of technology and entertainment. Leveraging AI and predictive algorithms, Inkitt discovers unknown stories and turns them…","Job types: Full-time
Benefits: Health insurance, Dental insurance, 401(k), Vision insurance, Food provided
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=4a5b02a6ee1d9c04,IndeedScraperUSAEng_4a5b02a6ee1d9c04,IndeedScraperUSAEng,Data,USA_ENGLISH,$63000 - $289000 yearly,UNKNOWN
NEW,Data Entry Clerk / Customer Service,Hireko Golf,"Roseville, CA 95678",2024-11-12,"Entering data for outgoing shipments into various customer portals. Hireko Golf, a leader in golf and sporting goods distribution, is seeking a data entry / customer service clerk.","Job types: Full-time
Shifts: 8 hour shift
Benefits: Health insurance, Paid time off
Job types cc: Full-time
Schedules: 8 hour shift, Monday to Friday",https://www.indeed.com/m/viewjob?jk=1ca53925186f3e16,IndeedScraperUSAEng_1ca53925186f3e16,IndeedScraperUSAEng,Data,USA_ENGLISH,$18.5 - $-1 hourly,UNKNOWN
NEW,Business Analyst - Global Monetization Product & Tech,TikTok,"San Jose, CA",2024-10-13,"We're the TikTok Monetization Products data science team, who enables and champions data driven decision making. Our Vision is to become the world class data science team, where data is used…","Benefits: Paid parental leave, Health savings account, AD&D insurance, Paid holidays, Disability insurance, Health insurance, Dental insurance, Flexible spending account, RSU, Paid time off, Parental leave, Employee assistance program, Vision insurance, 401(k) matching, Paid sick time",https://www.indeed.com/m/viewjob?jk=eacc0542e9d2c43f,IndeedScraperUSAEng_eacc0542e9d2c43f,IndeedScraperUSAEng,Data,USA_ENGLISH,$147000 - $270000 yearly,UNKNOWN
NEW,Data Scientist,The Voleon Group,"Berkeley, CA",2024-10-13,"Voleon is a technology company that applies state-of-the-art machine learning techniques to real-world problems in finance. For more than a decade, we have led our industry and worked at the…","Job types: Full-time
Remote: Hybrid work
Benefits: AD&D insurance, Health insurance, Dental insurance, Paid time off, Vision insurance, 401(k) matching, Referral program
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=a4fe7b9d7a55e35c,IndeedScraperUSAEng_a4fe7b9d7a55e35c,IndeedScraperUSAEng,Data,USA_ENGLISH,$150000 - $190000 yearly,TEMPORARILY_REMOTE
NEW,"Senior Data Scientist, Analytics - Ads (Quests)",Discord,"San Francisco, CA 94107",2024-10-13,"Discord is used by over 200 million people every month for many different reasons, but there’s one thing that nearly everyone does on our platform: play video games. Over 90% of our users play games…","Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=8cd7a89ba6e81fb7,IndeedScraperUSAEng_8cd7a89ba6e81fb7,IndeedScraperUSAEng,Data,USA_ENGLISH,$183000 - $201500 yearly,UNKNOWN
NEW,Data Scientist - Applied AI,TikTok,"San Jose, CA",2024-10-13,"Responsibilities TikTok is the leading destination for short-form mobile video. At TikTok, our mission is to inspire creativity and bring joy. TikTok's global headquarters are in Los Angeles and…","Benefits: Paid parental leave, Health savings account, AD&D insurance, Paid holidays, Disability insurance, Health insurance, Dental insurance, Flexible spending account, RSU, Paid time off, Parental leave, Employee assistance program, Vision insurance, 401(k) matching, Paid sick time",https://www.indeed.com/m/viewjob?jk=d119000aca8fc436,IndeedScraperUSAEng_d119000aca8fc436,IndeedScraperUSAEng,Data,USA_ENGLISH,$24000 - $135000 yearly,UNKNOWN
NEW,Data Entry/Customer Service Specialist,"Confluence Pacific NW, Inc.","San Jose, CA",2024-10-13,"Ability to collect and analyze data effectively. Experience in data collection and analysis is a plus. The ideal candidate will be responsible for providing exceptional customer service, handling…","Job types: Full-time
Remote: Hybrid work
Benefits: Health insurance, Dental insurance, 401(k), Paid time off, Vision insurance, Flexible schedule, Life insurance
Job types cc: Full-time
Schedules: Monday to Friday",https://www.indeed.com/m/viewjob?jk=0a783aca23a0f7c6,IndeedScraperUSAEng_0a783aca23a0f7c6,IndeedScraperUSAEng,Data,USA_ENGLISH,$22.95 - $25.38 hourly,TEMPORARILY_REMOTE
NEW,"DoD Military Skillbridge - Data Center Facility Engineer (HVAC, Mechanical, Electrician, Security Systems)",Equinix,"San Jose, CA 95119",2024-10-13,Expand your professional network of contacts. Gain familiarity with corporate culture. Has a substantial understanding of the job while working on assignments that are moderately difficult requiring…,"Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=ccd268dbb97913c0,IndeedScraperUSAEng_ccd268dbb97913c0,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN
NEW,Scanner,Inmar,"Modesto, CA 95358",2024-10-13,"Fulltime position Shift: 4/10 schedule Monday- Thursday, or Tuesday- Friday, 6a-4:30pm Wage: $16.00/hour Competitive Benefit package Location: 1225 E Whitmore Avenue, Modesto, CA 95358 Position…","Job types: Full-time
Shifts: 10 hour shift
Job types cc: Full-time
Schedules: 10 hour shift, Monday to Friday",https://www.indeed.com/m/viewjob?jk=bd25de26fa5d44d1,IndeedScraperUSAEng_bd25de26fa5d44d1,IndeedScraperUSAEng,Data,USA_ENGLISH,$16 - $16 hourly,UNKNOWN
NEW,Data Infrastructure and Alarm Installation Technician / Cabling Technician,IT Management Corp. dba 101 VOICE,"Santa Clara, CA",2024-10-13,"Troubleshoot and diagnose voice and data lines a plus. Have 4 years of data infrastructure experience and be familiar with the codes. Understand data cabling, low voltage electrical, analog and IP…",,https://www.indeed.com/m/viewjob?jk=7652a0d33805ca54,IndeedScraperUSAEng_7652a0d33805ca54,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN
