status,title,company,location,date,blurb,tags,link,id,provider,query,locale,wage,remoteness
NEW,"Support Operations Manager, Workforce Planning & Data",OpenAI,"San Francisco, CA",2024-10-26,"About the Team The Support team is central to ensuring that our customers' experience with our products is nothing short of exceptional. We resolve complex issues, provide technical guidance, and…","Job types: Full-time
Remote: Hybrid work
Benefits: Relocation assistance
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=5c92ab6346c06a85,IndeedScraperUSAEng_5c92ab6346c06a85,IndeedScraperUSAEng,Data,USA_ENGLISH,$235000 - $235000 yearly,TEMPORARILY_REMOTE
NEW,"Director of Finance and Administration, Biomedical Data Science",Stanford University,"Stanford, CA",2024-11-09,"Demonstrated ability to identify and analyze all pertinent information/data to make and communicate decisions to meet the unit(s) current and future financial, research, academic and administrative…","Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=48ea4d6d559d10aa,IndeedScraperUSAEng_48ea4d6d559d10aa,IndeedScraperUSAEng,Data,USA_ENGLISH,$205050 - $283688 yearly,UNKNOWN
NEW,"Senior Product Manager, Data Governance",Verily,"San Bruno, CA",2024-10-16,"The Data Governance Product Manager will be responsible for data governance across the Precision Health Platform, including data stored in FHIR and other healthcare data modalities.","Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=f26608f8f169c647,IndeedScraperUSAEng_f26608f8f169c647,IndeedScraperUSAEng,Data,USA_ENGLISH,$129000 - $184000 yearly,UNKNOWN
NEW,"Staff, Data Scientist | Transportation AI | Sunnyvale",Walmart,"Sunnyvale, CA 94086",2024-11-15,"Mentor and guide other data scientists in the team. Experience with large-scale data systems (Spark/Hive) and cloud computing (GCP/Azure). As a science tech lead, you will drive innovation, cost…","Remote: Hybrid work
Benefits: Paid jury duty, Paid parental leave, Employee stock purchase plan, Disability insurance, Health insurance, Dental insurance, 401(k), Military leave, Paid time off, Family leave, Parental leave, Vision insurance, 401(k) matching, Life insurance, Paid sick time",https://www.indeed.com/m/viewjob?jk=0d706c4a9497c403,IndeedScraperUSAEng_0d706c4a9497c403,IndeedScraperUSAEng,Data,USA_ENGLISH,$143000 - $286000 yearly,TEMPORARILY_REMOTE
NEW,"Reliability Data Analyst, Semi",Tesla,"Fremont, CA",2024-10-16,"Own the construction and management of data workflows and aggregations to support reporting on live data connections. As a successful candidate, you will leverage your experience in big data analytics…","Job types: Full-time
Benefits: Commuter assistance, Health savings account, AD&D insurance, Paid holidays, Disability insurance, Health insurance, Dental insurance, Flexible spending account, Flextime, Employee assistance program, 401(k) matching, Employee discount, Benefits from day one, Life insurance, Pet insurance
Job types cc: Full-time
Schedules: Flextime",https://www.indeed.com/m/viewjob?jk=d8c475fe081831d5,IndeedScraperUSAEng_d8c475fe081831d5,IndeedScraperUSAEng,Data,USA_ENGLISH,$80000 - $258000 yearly,UNKNOWN
NEW,"Global Supply Chain Manager, Data Center OFCI Equipment",Facebook App,"Fremont, CA",2024-10-16,"Drive implementation & adoption of new capabilities, and work to improve data systems & metrics to enhance supply visibility & accuracy. The Global Supply Chain Manager will lead and support supply…",,https://www.indeed.com/m/viewjob?jk=813194a79896ff8c,IndeedScraperUSAEng_813194a79896ff8c,IndeedScraperUSAEng,Data,USA_ENGLISH,$116000 - $170000 yearly,UNKNOWN
NEW,STAFF001467 Staff Research Associate III (Data Scientist),Northern California Institute for Research and Education,"San Francisco, CA 94121",2024-10-16,"Develop efficient data cleaning and preprocessing pipelines to handle diverse data types and ensure data integrity. 3+ years of experience in data analysis, machine learning, or biostatistics.","Job types: Full-time
Shifts: Day shift
Benefits: Health insurance, Dental insurance, 401(k), Flexible spending account, Paid time off, Parental leave, Employee assistance program, Vision insurance, 401(k) matching, Flexible schedule, Life insurance, Retirement plan
Job types cc: Full-time
Schedules: Day shift",https://www.indeed.com/m/viewjob?jk=74a8af89d03f3764,IndeedScraperUSAEng_74a8af89d03f3764,IndeedScraperUSAEng,Data,USA_ENGLISH,$66560 - $93060.24 yearly,UNKNOWN
NEW,"Software Engineer, Triton Compiler",OpenAI,"San Francisco, CA",2024-10-16,"As a Software Engineer, you will help build AI systems that can perform previously impossible tasks or achieve outstanding levels of performance. This requires good engineering (for example designing,…",,https://www.indeed.com/m/viewjob?jk=48f009bbc02810fc,IndeedScraperUSAEng_48f009bbc02810fc,IndeedScraperUSAEng,Data,USA_ENGLISH,$200000 - $370000 yearly,UNKNOWN
NEW,"Staff Data Scientist, Personalization",Intuit,"Mountain View, CA 94043",2024-10-16,Collaborate with cross-functional teams to design and implement data-driven personalization experiments. Develop machine learning models and other approaches for key attribute identification in order…,,https://www.indeed.com/m/viewjob?jk=9a48ba83cbf3cbd5,IndeedScraperUSAEng_9a48ba83cbf3cbd5,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN
NEW,Sr. Postmarket Surveillance Data Scientist,Abbott Laboratories,"Alameda, CA",2024-10-25,"Strong understanding of data analytics, structured and unstructured data analysis, predictive modeling techniques, and data visualization. Develop machine learning models to apply test data algorithms…","Job types: Full-time
Benefits: Health insurance, Tuition reimbursement, Retirement plan
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=cd00a12e927c7a76,IndeedScraperUSAEng_cd00a12e927c7a76,IndeedScraperUSAEng,Data,USA_ENGLISH,$83600 - $167200 yearly,UNKNOWN
