status,title,company,location,date,blurb,tags,link,id,provider,query,locale,wage,remoteness
NEW,"Data Analytics Instructor Lead- Bahrain Full-time, Temporary Position",General Assembly,"New York, NY",2024-10-21,"You have at least 5 years of work experience in a role where you've been responsible for cleaning messy data, analyzing the data and presenting your data based insights.","Job types: Temporary, Full-time
Job types cc: Temporary, Full-time
Schedules: Monday to Friday",https://www.indeed.com/m/viewjob?jk=3c3b157f866c7de4,IndeedScraperUSAEng_3c3b157f866c7de4,IndeedScraperUSAEng,Data,USA_ENGLISH,$20928 - $24148 yearly,UNKNOWN
NEW,"Sports Data Operator - Baseball/Softball (Yaphank, NY)",Realplay,"Yaphank, NY 11980",2024-10-21,"Realplay delivers video of every swing, pitch, and defensive play that any player makes on a baseball or softball field. Attend Realplay's partner facility ""Lasorda Legacy Park"", in Yaphank NY to…",,https://www.indeed.com/m/viewjob?jk=d3c9e78c0f71297a,IndeedScraperUSAEng_d3c9e78c0f71297a,IndeedScraperUSAEng,Data,USA_ENGLISH,$16 - $16 hourly,UNKNOWN
NEW,Jr. Web Application Data Engineer,GEI Consultants,"Bloomfield, NJ 07003",2024-10-21,Collaborate with data architects and data engineers. Provide programming and data engineering assistance for desktop applications. The Jr. Web Application Data Engineer position is responsible for the…,"Job types: Full-time
Remote: Hybrid work
Benefits: Profit sharing, Commuter assistance, Paid parental leave, Paid holidays, Health insurance, Dental insurance, 401(k), Tuition reimbursement, Paid time off, Cell phone reimbursement, Parental leave, Vision insurance, Opportunities for advancement
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=c542c09724c24000,IndeedScraperUSAEng_c542c09724c24000,IndeedScraperUSAEng,Data,USA_ENGLISH,$25 - $32 hourly,TEMPORARILY_REMOTE
NEW,Data Operations and Analytics Manager,Playwrights Horizons,"New York, NY 10036",2024-10-21,Serve as liaison between different departments to ensure data sharing is happening in a timely and useful manner and serve as a backup for data entry as needed. Experience with Financial Edge a plus.,"Job types: Full-time, Contract
Shifts: 8 hour shift
Remote: Hybrid work
Benefits: Health insurance, Dental insurance, Flexible spending account, Vision insurance, 403(b), Life insurance
Job types cc: Full-time, Contract
Schedules: 8 hour shift, Monday to Friday",https://www.indeed.com/m/viewjob?jk=65c9b493b9a23eb2,IndeedScraperUSAEng_65c9b493b9a23eb2,IndeedScraperUSAEng,Data,USA_ENGLISH,$60000 - $70000 yearly,TEMPORARILY_REMOTE
NEW,"Associate, ESG Data Mgmt Lead",Apollo,"New York, NY",2024-10-21,Position Overview Apollo’s Sustainability team is seeking an ESG Data Lead to support the Reporting team’s data and analytics needs across various reporting and sustainable investing programs. This…,"Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=88e4c4a6c6bed7c3,IndeedScraperUSAEng_88e4c4a6c6bed7c3,IndeedScraperUSAEng,Data,USA_ENGLISH,$100000 - $120000 yearly,UNKNOWN
NEW,Data Analyst,Sureminds Solutions LLC,"Jersey City, NJ",2024-11-08,"Expertise in exploratory data analytics using complex SQL, Excel and other tools. Experience with data querying languages (SQL) and working with large datasets. Expertise in PowerBI, Tableau etc.","Job types: Full-time
Job types cc: Full-time
Schedules: Monday to Friday",https://www.indeed.com/m/viewjob?jk=fcaa1389f28467fe,IndeedScraperUSAEng_fcaa1389f28467fe,IndeedScraperUSAEng,Data,USA_ENGLISH,$125000 - $135000 yearly,UNKNOWN
NEW,"Sports Data Operator - Baseball/Softball (Yaphank, NY)",Realplay,"Yaphank, NY 11980",2024-10-21,"Realplay is looking for self-driven data operators for the Spring/Summer baseball and softball season. Realplay is looking for applicants with a passion for baseball, softball, or sports data…",,https://www.indeed.com/m/viewjob?jk=2f05f78b94ece7ef,IndeedScraperUSAEng_2f05f78b94ece7ef,IndeedScraperUSAEng,Data,USA_ENGLISH,$15 - $16 hourly,UNKNOWN
NEW,Data Analyst,China Express USA Inc,"Burlington, NJ 08016",2024-10-21,"Work with the data team to continuously iterate business data models, promote the productization of important and commonly used analysis models, and improve analysis efficiency;","Job types: Full-time
Shifts: 8 hour shift
Benefits: Paid training, Health insurance, Dental insurance, Paid time off, Vision insurance
Job types cc: Full-time
Schedules: 8 hour shift, Nights as needed, Monday to Friday",https://www.indeed.com/m/viewjob?jk=cf86fdf2bb0367c8,IndeedScraperUSAEng_cf86fdf2bb0367c8,IndeedScraperUSAEng,Data,USA_ENGLISH,$50000 - $50000 yearly,UNKNOWN
NEW,"Sports Data Operator - Baseball/Softball (Yaphank, NY)",Realplay,"Yaphank, NY 11980",2024-10-21,"Realplay delivers video of every swing, pitch, and defensive play that any player makes on a baseball or softball field. Attend Realplay's partner facility ""Lasorda Legacy Park"", in Yaphank NY to…",,https://www.indeed.com/m/viewjob?jk=0e43a5fe4d3ae051,IndeedScraperUSAEng_0e43a5fe4d3ae051,IndeedScraperUSAEng,Data,USA_ENGLISH,$15 - $16 hourly,UNKNOWN
NEW,Data Analyst,JMAC Lending,"New York, NY",2024-11-20,Work closely with different business units to understand their data requirements and deliver quality data analysis to meet their needs. Identify opportunities for process improvements based on data…,"Job types: Full-time
Remote: Remote
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=7c623c14ef6061ac,IndeedScraperUSAEng_7c623c14ef6061ac,IndeedScraperUSAEng,Data,USA_ENGLISH,$32099 - $40098 yearly,FULLY_REMOTE
