status,title,company,location,date,blurb,tags,link,id,provider,query,locale,wage,remoteness
NEW,Developer - BI/Data Warehouse,Guilford County Schools,"Greensboro, NC 27402",2024-11-04,Fair Labor Standards Act Classification: Non-Exempt Position Term: 12 month Classification: Continuing Time Basis: Full-Time Position Type: Classified Benefits: Full Starting Salary: $16.36 per hour…,"Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=477fe992ab814bc5,IndeedScraperUSAEng_477fe992ab814bc5,IndeedScraperUSAEng,Data,USA_ENGLISH,$16.36 - $16.36 hourly,UNKNOWN
NEW,"Technical Product Owner, Data Engineering & Infrastructure",Bandwidth,"Raleigh, NC",2024-10-25,Enterprise data architecture or solution architecture. Analyze data to derive insights and inform product decisions. Understand and articulate technical concepts in data engineering and infrastructure…,"Benefits: Health insurance
 Dental insurance
 Paid time off
 Vision insurance",https://www.indeed.com/m/viewjob?jk=1f2dc3f8eadf2e39,IndeedScraperUSAEng_1f2dc3f8eadf2e39,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN
NEW,Data Integration Specialist,Dewberry,"Raleigh, NC 27607",2024-10-15,"Produce reports, managing data, and data visualization. We are looking for a team member who can create innovative ways to capture, manage, and communicate data to a wide range of users, from…","Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=95b55a50c82ed206,IndeedScraperUSAEng_95b55a50c82ed206,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN
NEW,Data Architect (Greensboro - Raleigh area),Hakkoda,"Greensboro, NC",2024-10-26,About Hakkoda Hakkoda is a modern data consultancy that empowers data driven organizations to realize the full value of the Snowflake Data Cloud. We provide consulting and managed services in data…,"Job types: Full-time
Remote: Hybrid work
Benefits: Paid parental leave, Health insurance, Dental insurance, Paid time off, Work from home, Parental leave, Vision insurance, Life insurance
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=9a2d6ef39d062498,IndeedScraperUSAEng_9a2d6ef39d062498,IndeedScraperUSAEng,Data,USA_ENGLISH,,TEMPORARILY_REMOTE
NEW,"Instructor, Artificial Intelligence (AI) - Machine Learning (Part-Time Temp)",Wake Technical Community College,"Raleigh, NC 27603",2024-10-19,"Supports the Department, Division, and College goals, providing requested data in a timely manner. Wake Technical Community College is seeking to expand the pool of part-time faculty to teach one or…","Job types: Part-time
Job types cc: Part-time",https://www.indeed.com/m/viewjob?jk=78703c0b1dfa87e4,IndeedScraperUSAEng_78703c0b1dfa87e4,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN
NEW,Data Manager,Onslow County Schools,"Jacksonville, NC 28546",2024-10-17,Knowledge of source data and operations of school from which source data originates. Entering data with accuracy at high speed given consideration for time required for judgment and the difficulty of…,"Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=00e68e745a943080,IndeedScraperUSAEng_00e68e745a943080,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN
NEW,Data Manager,Wake County Public School System,"Cary, NC 27519",2024-10-24,Overview: POSITION PURPOSE: Ensures accurate student record keeping by following procedures set forth by Wake County Public School System (WCPSS). Performs data entry processes including analyzing…,"Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=4da1725cd5a81d9b,IndeedScraperUSAEng_4da1725cd5a81d9b,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN
NEW,MDS (Minimum Data Set) Coordinator,Willow Valley Center for Nursing and Rehabilitation,"Winston-Salem, NC 27104",2024-10-20,"Up to $7,500 sign-on bonus and Avg. We are pleased to offer a voluntary benefit for employees to access their pay on their own schedule. Willow Valley Center for Nursing and Rehabilitation is seeking…","Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=a4c0f75afea9e707,IndeedScraperUSAEng_a4c0f75afea9e707,IndeedScraperUSAEng,Data,USA_ENGLISH,$40 - $40 hourly,UNKNOWN
NEW,Digital Marketing Coordinator Data Quality - Marketing Technology,UNC Health,"Raleigh, NC 27607",2024-10-05,"Ensure data meets quality standards. Actively contribute to improving MarTech’s data framework and related business processes. Prior experience using structured data in CMS/DAM, enterprise search,…","Job types: Full-time
Remote: Hybrid work
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=f701251460a7058c,IndeedScraperUSAEng_f701251460a7058c,IndeedScraperUSAEng,Data,USA_ENGLISH,$27.89 - $40.09 hourly,TEMPORARILY_REMOTE
NEW,"Manager, Clinical Data Management",Statistics & Data Corporation (SDC),"Raleigh, NC",2024-10-03,"Works closely with Director of Data Management, Clinical Data Managers and Clinical Data Analyst to mentor data management staff. Oversees day-to-day data management operations, ensuring on-time and…","Job types: Full-time
Remote: Hybrid work
Benefits: 401(k) matching
 Flexible schedule
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=ee63d5d2eb3273cb,IndeedScraperUSAEng_ee63d5d2eb3273cb,IndeedScraperUSAEng,Data,USA_ENGLISH,,TEMPORARILY_REMOTE
