status,title,company,location,date,blurb,tags,link,id,provider,query,locale,wage,remoteness
NEW,Data Entry Specialist,The Giant Company,"Philadelphia, PA 19114",2024-11-04,"As a direct report to the data integrity lead, the team member is responsible for holding daily recap meetings with store salary management to review current store conditions and daily opportunities.","Job types: Full-time
Shifts: 4 hour shift
Job types cc: Full-time
Schedules: 4 hour shift",https://www.indeed.com/m/viewjob?jk=7ad89abd498ee158,IndeedScraperUSAEng_7ad89abd498ee158,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN
NEW,Data Entry in QuickBooks,Nova Distributors,"Edison, NJ 08817",2024-10-05,"You will report to a data manager or another senior data team member. Transfer data from paper formats into computer files or QB systems using keyboards, data recorders or optical scanners.","Job types: Part-time, Full-time
Shifts: 8 hour shift
Benefits: Employee discount
Job types cc: Part-time, Full-time
Schedules: 8 hour shift, Monday to Friday",https://www.indeed.com/m/viewjob?jk=bac78f24ea058a8d,IndeedScraperUSAEng_bac78f24ea058a8d,IndeedScraperUSAEng,Data,USA_ENGLISH,$30000 - $31000 yearly,UNKNOWN
NEW,Business Analyst,Intone Networks,"Montvale, NJ",2024-10-18,"JOB REQUIREMENTS Education Bachelor's degree in Business (or Management), Computer Science, or related discipline, or equivalent work experience is required Knowledge, Skills and Experience · 3+ years…","Job types: Contract
Job types cc: Contract",https://www.indeed.com/m/viewjob?jk=974c1fbb84101cd0,IndeedScraperUSAEng_974c1fbb84101cd0,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN
NEW,"Lead Data Scientist, Data Science",National Grid,"Hicksville, NY 11801",2024-10-19,Knowledge of how to integrate short-term forecasting processes into day-to-day operational data engineering and production pipelines is a plus. Bachelor’s degree (Master’s or PhD preferred) in data…,"Job types: Full-time
Benefits: Opportunities for advancement
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=532e385b2ac1d905,IndeedScraperUSAEng_532e385b2ac1d905,IndeedScraperUSAEng,Data,USA_ENGLISH,$143000 - $168000 yearly,UNKNOWN
NEW,JDE Programmer AnalyJDE Business Analyst/Programmer,Element Solutions Inc,"Waterbury, CT 06702",2024-10-22,"Create and maintain data transfers for Datamarts, Stratum and Hyperion. Developed in multi-step technological processes, our innovative solutions enable our customer’s manufacturing processes in…","Remote: Hybrid work
Benefits: Health insurance
 401(k) matching
 Life insurance",https://www.indeed.com/m/viewjob?jk=16c21e389dc8e971,IndeedScraperUSAEng_16c21e389dc8e971,IndeedScraperUSAEng,Data,USA_ENGLISH,,TEMPORARILY_REMOTE
NEW,Oracle Database Developer,Capgemini,"New York, NY 10003",2024-10-30,In-depth understanding of data management (e.g. data discovery data analysis transformation data quality security and monitoring). Business requirements: Analyze the company's data need and assist in…,"Job types: Full-time
Benefits: Paid parental leave, Paid holidays, Health insurance, Dental insurance, 401(k), Paid time off, Adoption assistance, Parental leave, Vision insurance
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=650ee76deedfb4ad,IndeedScraperUSAEng_650ee76deedfb4ad,IndeedScraperUSAEng,Data,USA_ENGLISH,$56186 - $87556 yearly,UNKNOWN
NEW,"Director, IT Data, Analytics and Innovation",ANI Pharmaceuticals,"Princeton, NJ",2024-10-05,"Act as a liaison between the data and analytics team and other departments to ensure alignment and integration of data initiatives. Implement data governance policies, standards, and practices to…","Job types: Full-time
Job types cc: Full-time
Schedules: Extended hours",https://www.indeed.com/m/viewjob?jk=f6281af46abef743,IndeedScraperUSAEng_f6281af46abef743,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN
NEW,"Grp Dir, Data Sci/Adv Alt -SVP",IPG Health,"New York, NY",2024-10-05,"Actively manage 8 to 14 junior data scientists, data scientists, lead data scientists, principal data scientists, directors of data science, VPs of data science and engineering and perhaps an SVP …",,https://www.indeed.com/m/viewjob?jk=a6ff210c5a2d8bce,IndeedScraperUSAEng_a6ff210c5a2d8bce,IndeedScraperUSAEng,Data,USA_ENGLISH,$260000 - $290000 yearly,UNKNOWN
NEW,Report Processor,The IMA Group,"Hartsdale, NY 10530",2024-10-18,Proficiency in office software and databases for efficient data processing. Verifying data and information within reports to ensure consistency and quality.,"Job types: Full-time
Benefits: Paid parental leave
 AD&D insurance
 Paid holidays
 Dental insurance
 Flexible spending account
 Tuition reimbursement
 Paid time off
 Parental leave
 Vision insurance
 401(k) matching
 Loan assistance
 Life insurance
Job types cc: Full-time
Schedules: No on call",https://www.indeed.com/m/viewjob?jk=3f88f31ccd19ee84,IndeedScraperUSAEng_3f88f31ccd19ee84,IndeedScraperUSAEng,Data,USA_ENGLISH,$18 - $18 hourly,UNKNOWN
NEW,ONCOLOGY DATA SPECIALIST I (PART-TIME),Cooper University Health Care,"Camden, NJ",2024-10-24,1.4 Participates in ongoing oncology data specialist and related educational activities. 2.4 Clears case data edits or seeks assistance from team member. Technical Skills and Responsibilities.,"Job types: Part-time
Job types cc: Part-time",https://www.indeed.com/m/viewjob?jk=72dcb55f2b661860,IndeedScraperUSAEng_72dcb55f2b661860,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN
NEW,Director- Data Science (hybrid),The Hartford,"Hartford, CT",2024-10-05,"This cutting edge and forward focused organization presents the opportunity for collaboration, self-organization within the team, influencing decision-making, and visibility as we focus on continuous…","Job types: Full-time
Remote: Hybrid work
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=70ac7076147796ec,IndeedScraperUSAEng_70ac7076147796ec,IndeedScraperUSAEng,Data,USA_ENGLISH,$148000 - $222000 yearly,TEMPORARILY_REMOTE
NEW,Data Coordinator,Diocese of Camden,"Camden, NJ 08102",2024-10-05,"Adhere to established data standards. This includes data extraction, mailings, appeal/event reports, data analysis, and donor research. Work with Special Events Coordinator to set up new events or…",,https://www.indeed.com/m/viewjob?jk=7a007fd8a2963c19,IndeedScraperUSAEng_7a007fd8a2963c19,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN
NEW,"Director, Provider Credentialing & Data Management","Health Partner Plans, Inc.","Philadelphia, PA",2024-11-01,"Ensure ongoing management of provider data by overseeing and/or conducting regular audits to ensure the accuracy and integrity of provider information in provider directories, PDM and credentialing…","Job types: Full-time
Benefits: Profit sharing
 Wellness program
 Flextime
 401(k) matching
Job types cc: Full-time
Schedules: Flextime",https://www.indeed.com/m/viewjob?jk=9506cef4b9ecd7b6,IndeedScraperUSAEng_9506cef4b9ecd7b6,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN
NEW,Receptionist/ Data Administrator,MMP Inc,"South Plainfield, NJ 07080",2024-10-15,"Raw Material Supplier is looking an administrator with excellent computer ability, organization skills, and ACT experience. Must be customer-service oriented, attentive to detail, and able to work…","Job types: Full-time
Shifts: Day shift
Benefits: Health insurance, Dental insurance, 401(k), Paid time off, 401(k) matching
Job types cc: Full-time
Schedules: Day shift, Monday to Friday",https://www.indeed.com/m/viewjob?jk=38abd7cfc209039c,IndeedScraperUSAEng_38abd7cfc209039c,IndeedScraperUSAEng,Data,USA_ENGLISH,$20 - $-1 hourly,UNKNOWN
NEW,Senior Consultant - Data & Analytics (Banking & Capital Markets) (NY),CrossCountry Consulting,"New York, NY",2024-10-05,2+ years of relevant experience in handling large data sets and interpreting data to derive impactful insights and recommendations. Design process and data flows using standard flowcharting…,"Job types: Full-time
Remote: Hybrid work
Benefits: Health insurance, Dental insurance, Flexible spending account, Parental leave, Vision insurance, 401(k) matching
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=22ccb09bcdcb803c,IndeedScraperUSAEng_22ccb09bcdcb803c,IndeedScraperUSAEng,Data,USA_ENGLISH,$75500 - $160000 yearly,TEMPORARILY_REMOTE
NEW,Mission Data Analyst Associate/Staff MDS,SciTec,"Princeton, NJ 08540",2024-10-29,Experience with remote sensing data analysis. Experience with the exploitation and analysis of OPIR data. Developing analysis tools in Python ranging from data readers to interactive multivariate…,"Job types: Full-time
Benefits: Profit sharing, Paid parental leave, Health savings account, Paid holidays, Disability insurance, 401(k) 3% Match, Health insurance, Dental insurance, 401(k), Paid time off, Parental leave, Vision insurance, 401(k) matching, Employee stock ownership plan, Flexible schedule, Life insurance, Paid sick time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=2bc76506f0271abb,IndeedScraperUSAEng_2bc76506f0271abb,IndeedScraperUSAEng,Data,USA_ENGLISH,$80000 - $113000 yearly,UNKNOWN
NEW,Data Scientist III (ML Engineering),Cedar Inc,"New York, NY",2024-10-05,"The Role: Cedar is scaling rapidly and the demand for data and machine learning expertise is increasing. We are seeking a Data Scientist III, ML Engineering to join our team and build machine…","Benefits: Paid parental leave, Health insurance, Unlimited paid time off, 401(k), Paid time off, Work from home, Parental leave, 401(k) matching",https://www.indeed.com/m/viewjob?jk=f694b7062271a931,IndeedScraperUSAEng_f694b7062271a931,IndeedScraperUSAEng,Data,USA_ENGLISH,$148750 - $175000 yearly,UNKNOWN
NEW,"Principal, Data Strategy",Publicis Sapient,"New York, NY 10014",2024-10-05,"Provide data though leadership and communicate data strategy needs as inputs into the media partnership strategy. Function as the data technology and strategy subject matter expert, acting as a client…","Job types: Full-time
Remote: Hybrid work
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=26751b5a89ff2f26,IndeedScraperUSAEng_26751b5a89ff2f26,IndeedScraperUSAEng,Data,USA_ENGLISH,$175000 - $225000 yearly,TEMPORARILY_REMOTE
NEW,Master Data Analyst,ASM Global,"West Conshohocken, PA 19428",2024-10-05,Ensure requests for master data maintenance are properly authorized/approved by working with appropriate Company data owners. Educate clients on master data processes and business requirements.,"Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=b80e3e298772978c,IndeedScraperUSAEng_b80e3e298772978c,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN
