status,title,company,location,date,blurb,tags,link,id,provider,query,locale,wage,remoteness
NEW,"Principal Full Stack Engineer (Database, GraphQL, API)",Pomeroy,"Plano, TX 75024",2024-11-04,"Develop and maintain database backup and recovery strategies to safeguard data. Ensure the security and integrity of databases by implementing access controls, encryption, SSL, TDE, and data masking.","Job types: Contract
Shifts: 8 hour shift, Day shift
Job types cc: Contract
Schedules: 8 hour shift, Day shift, Monday to Friday",https://www.indeed.com/m/viewjob?jk=aca3b202d63eb1a9,IndeedScraperUSAEng_aca3b202d63eb1a9,IndeedScraperUSAEng,Data,USA_ENGLISH,$50 - $53.75 hourly,UNKNOWN
NEW,Data Center Technician,Salute,"Red Oak, TX",2024-10-05,"Communicate information to assist with capacity planning for space, power, data communications, and cooling. The Data Center Technician is the expert in facilitating the work of data centers and must…","Job types: Full-time
Shifts: 12 hour shift
Job types cc: Full-time
Schedules: 12 hour shift, Weekends as needed, Monday to Friday",https://www.indeed.com/m/viewjob?jk=9392751bd6028a29,IndeedScraperUSAEng_9392751bd6028a29,IndeedScraperUSAEng,Data,USA_ENGLISH,$24 - $24 hourly,UNKNOWN
NEW,Lawsuit Production/Data Clerk,Dallas Law Firm,"Dallas, TX 75207",2024-10-03," Experience with e-filing and/or electronic data management of legal files is a plus.  Will use comprehension skills, data entry skills and computer skills to build/transfer virtual files, review…","Job types: Full-time
Shifts: 8 hour shift
Benefits: Health insurance
 Dental insurance
 401(k)
 Paid time off
 Vision insurance
 401(k) matching
 Life insurance
Job types cc: Full-time
Schedules: 8 hour shift
 Monday to Friday",https://www.indeed.com/m/viewjob?jk=07895a2287165bcf,IndeedScraperUSAEng_07895a2287165bcf,IndeedScraperUSAEng,Data,USA_ENGLISH,$43000 - $43000 yearly,UNKNOWN
NEW,Sr Director Data Governance Platform,Southern Glazer’s Wine and Spirits,"Dallas, TX 75254",2024-10-19,"Knowledge of data modeling, data architecture, and data engineering concepts. Data management, data design, data modeling. Expertise in building data quality, data security, and regulatory frameworks.","Benefits: Wellness program
 Disability insurance
 Health insurance
 Dental insurance
 401(k)
 Flexible spending account
 Tuition reimbursement
 Parental leave
 Vision insurance
 Life insurance
 Prescription drug insurance
 Paid sick time",https://www.indeed.com/m/viewjob?jk=651cb749765f9131,IndeedScraperUSAEng_651cb749765f9131,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN
NEW,Lead Data Technician,"DTX Network Solutions, LLC","Dallas County, TX",2024-10-25,"Have experience installing voice/data and fiber optic cabling, building out data closets, testing and troubleshooting, reading prints, working in a new construction environment, and wearing PPE (Hard…","Job types: Full-time
Shifts: 12 hour shift
 8 hour shift
 Overnight shift
 10 hour shift
 Night shift
 Evening shift
 Day shift
Benefits: Paid holidays
Job types cc: Full-time
Schedules: 12 hour shift
 8 hour shift
 Overtime
 Weekends as needed
 Overnight shift
 Evenings as needed
 10 hour shift
 Night shift
 Evening shift
 Day shift",https://www.indeed.com/m/viewjob?jk=3bfff592d4e4800b,IndeedScraperUSAEng_3bfff592d4e4800b,IndeedScraperUSAEng,Data,USA_ENGLISH,$25 - $28 hourly,UNKNOWN
NEW,"Vice President, Applied AI/ML Lead",JPMorganChase,"Plano, TX 75024",2024-10-27,"Use large scale data processing frameworks such as Spark, AWS EMR for feature engineering and be proficient across various data both structured and un-structured.","Job types: Full-time
Benefits: Health insurance
 Tuition reimbursement
 Retirement plan
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=85c6451ac9660ae4,IndeedScraperUSAEng_85c6451ac9660ae4,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN
NEW,Business Intelligence Analyst,Tricolor Auto Group,"Irving, TX 75039",2024-11-01,"Translating complex numerical data into actionable strategies. Collect and review data and use findings to optimize processes and develop stronger, more effective business strategies.","Job types: Full-time
Benefits: Health savings account
 AD&D insurance
 Disability insurance
 Health insurance
 Dental insurance
 401(k)
 Flexible spending account
 Paid time off
 Vision insurance
 401(k) matching
 401(k) 2% match
 Employee discount
 Life insurance
 Childcare
 Retirement plan
Job types cc: Full-time
Schedules: Monday to Friday",https://www.indeed.com/m/viewjob?jk=8113a35ded87c572,IndeedScraperUSAEng_8113a35ded87c572,IndeedScraperUSAEng,Data,USA_ENGLISH,$75000 - $80000 yearly,UNKNOWN
NEW,"Data Engineer / SAP, S/4 HANA, CP4D / Remote",Lockheed Martin,"Grand Prairie, TX 75051",2024-10-24,"Build data pipelines that clean, transform, and aggregate unorganized data into databases or data sources that are ready for analysis; The Data Engineer Senior is responsible for delivering full-stack…","Job types: Full-time
Remote: Remote
Benefits: Paid holidays, Disability insurance, Health insurance, Dental insurance, Flexible spending account, Tuition reimbursement, Paid time off, Parental leave, Employee assistance program, Vision insurance, 401(k) matching, Flexible schedule, Life insurance
Job types cc: Full-time
Schedules: 4x10",https://www.indeed.com/m/viewjob?jk=e2fc5bcb64e1711b,IndeedScraperUSAEng_e2fc5bcb64e1711b,IndeedScraperUSAEng,Data,USA_ENGLISH,,FULLY_REMOTE
NEW,Senior Data Analyst,TPN,"Irving, TX",2024-10-26,Tell stories using data and the analysis of that data. Champion a data-driven culture by promoting data literacy and providing training and resources across the organization.,"Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=09b06b0f42dc942d,IndeedScraperUSAEng_09b06b0f42dc942d,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN
NEW,Practice Technology Coordinator | Data Centers,Corgan,"Dallas, TX 75202",2024-10-05,"Overview: At Corgan we are passionate about great design but the best thing we build is each other. Here, you’ll find camaraderie and collaboration as abundantly as curiosity and creativity. Corgan…","Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=5a25e1c819c633a0,IndeedScraperUSAEng_5a25e1c819c633a0,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN
NEW,Data Architect,Intone Networks,"Dallas, TX",2024-10-05,"Title: Data Architect Location: Dallas, Texas (100% onsite…","Job types: Contract
Job types cc: Contract",https://www.indeed.com/m/viewjob?jk=36dd9cee2b378b37,IndeedScraperUSAEng_36dd9cee2b378b37,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN
NEW,AI Strategic Initiatives Leader,Eaton,"Dallas, TX 75201",2024-10-08,"Ability to analyze data across domains to discover trends and inform decisions. Working with a high level of ambiguity to make sense of new technology, data, and processes, quickly assimilating and…","Remote: Hybrid work
Benefits: Health insurance
 Retirement plan",https://www.indeed.com/m/viewjob?jk=ab763361c99c391a,IndeedScraperUSAEng_ab763361c99c391a,IndeedScraperUSAEng,Data,USA_ENGLISH,$153749.97 - $225499.95 yearly,TEMPORARILY_REMOTE
NEW,Principal Database Engineer (Onsite),Raytheon,"Richardson, TX 75082",2024-10-31,"In this position you would be familiar with creating, updating, and managing Postgres databases and the code that interacts with them. Identify and understand customer needs and apply sound,…","Job types: Full-time
Benefits: Paid holidays
 Disability insurance
 Relocation assistance
 Health insurance
 Dental insurance
 Flexible spending account
 Paid time off
 Parental leave
 Employee assistance program
 Vision insurance
 401(k) matching
 Flexible schedule
 Life insurance
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=44f3423a61e1eec6,IndeedScraperUSAEng_44f3423a61e1eec6,IndeedScraperUSAEng,Data,USA_ENGLISH,$96000 - $200000 yearly,UNKNOWN
