status,title,company,location,date,blurb,tags,link,id,provider,query,locale,wage,remoteness
NEW,Data Entry Specialist,CarVision Inc.,"Norristown, PA 19403",2024-10-03,"Ability to perform repetitive data entry tasks, manual dexterity. The ideal candidate will have experience hiring, training, and leading a team, will have a strong passion for people, and solid…","Job types: Full-time
Benefits: Paid training, Paid holidays, Health insurance, 401(k), Employee discount
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=ab423a37ac085c27,IndeedScraperUSAEng_ab423a37ac085c27,IndeedScraperUSAEng,Data,USA_ENGLISH,$18 - $18 hourly,UNKNOWN
NEW,Data Entry in QuickBooks,Nova Distributors,"Edison, NJ 08817",2024-10-03,"You will report to a data manager or another senior data team member. Transfer data from paper formats into computer files or QB systems using keyboards, data recorders or optical scanners.","Job types: Part-time, Full-time
Shifts: 8 hour shift
Benefits: Employee discount
Job types cc: Part-time, Full-time
Schedules: 8 hour shift, Monday to Friday",https://www.indeed.com/m/viewjob?jk=bac78f24ea058a8d,IndeedScraperUSAEng_bac78f24ea058a8d,IndeedScraperUSAEng,Data,USA_ENGLISH,$30000 - $31000 yearly,UNKNOWN
NEW,Business Analyst,Intone Networks,"Montvale, NJ",2024-10-18,"JOB REQUIREMENTS Education Bachelor's degree in Business (or Management), Computer Science, or related discipline, or equivalent work experience is required Knowledge, Skills and Experience · 3+ years…","Job types: Contract
Job types cc: Contract",https://www.indeed.com/m/viewjob?jk=974c1fbb84101cd0,IndeedScraperUSAEng_974c1fbb84101cd0,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN
NEW,"Lead Data Scientist, Data Science",National Grid,"Hicksville, NY 11801",2024-10-19,Knowledge of how to integrate short-term forecasting processes into day-to-day operational data engineering and production pipelines is a plus. Bachelor’s degree (Master’s or PhD preferred) in data…,"Job types: Full-time
Benefits: Opportunities for advancement
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=532e385b2ac1d905,IndeedScraperUSAEng_532e385b2ac1d905,IndeedScraperUSAEng,Data,USA_ENGLISH,$143000 - $168000 yearly,UNKNOWN
NEW,JDE Programmer AnalyJDE Business Analyst/Programmer,Element Solutions Inc,"Waterbury, CT 06702",2024-10-22,"Create and maintain data transfers for Datamarts, Stratum and Hyperion. Developed in multi-step technological processes, our innovative solutions enable our customer’s manufacturing processes in…","Remote: Hybrid work
Benefits: Health insurance, 401(k) matching, Life insurance",https://www.indeed.com/m/viewjob?jk=16c21e389dc8e971,IndeedScraperUSAEng_16c21e389dc8e971,IndeedScraperUSAEng,Data,USA_ENGLISH,,TEMPORARILY_REMOTE
NEW,Oracle Database Developer,Capgemini,"New York, NY 10003",2024-10-30,In-depth understanding of data management (e.g. data discovery data analysis transformation data quality security and monitoring). Business requirements: Analyze the company's data need and assist in…,"Job types: Full-time
Benefits: Paid parental leave, Paid holidays, Health insurance, Dental insurance, 401(k), Paid time off, Adoption assistance, Parental leave, Vision insurance
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=650ee76deedfb4ad,IndeedScraperUSAEng_650ee76deedfb4ad,IndeedScraperUSAEng,Data,USA_ENGLISH,$56186 - $87556 yearly,UNKNOWN
NEW,"Director, IT Data, Analytics and Innovation",ANI Pharmaceuticals,"Princeton, NJ",2024-10-03,"About Us Welcome to ANI Pharmaceuticals, where we are dedicated to improving and enhancing patients' lives through the manufacturing and distribution of high-quality pharmaceutical products. With a…","Job types: Full-time
Job types cc: Full-time
Schedules: Extended hours",https://www.indeed.com/m/viewjob?jk=f6281af46abef743,IndeedScraperUSAEng_f6281af46abef743,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN
NEW,"Grp Dir, Data Sci/Adv Alt -SVP",IPG Health,"New York, NY",2024-10-03,"Actively manage 8 to 14 junior data scientists, data scientists, lead data scientists, principal data scientists, directors of data science, VPs of data science and engineering and perhaps an SVP …",,https://www.indeed.com/m/viewjob?jk=a6ff210c5a2d8bce,IndeedScraperUSAEng_a6ff210c5a2d8bce,IndeedScraperUSAEng,Data,USA_ENGLISH,$260000 - $290000 yearly,UNKNOWN
NEW,Report Processor,The IMA Group,"Hartsdale, NY 10530",2024-10-18,Proficiency in office software and databases for efficient data processing. Verifying data and information within reports to ensure consistency and quality.,"Job types: Full-time
Benefits: Paid parental leave, AD&D insurance, Paid holidays, Dental insurance, Flexible spending account, Tuition reimbursement, Paid time off, Parental leave, Vision insurance, 401(k) matching, Loan assistance, Life insurance
Job types cc: Full-time
Schedules: No on call",https://www.indeed.com/m/viewjob?jk=3f88f31ccd19ee84,IndeedScraperUSAEng_3f88f31ccd19ee84,IndeedScraperUSAEng,Data,USA_ENGLISH,$18 - $18 hourly,UNKNOWN
NEW,ONCOLOGY DATA SPECIALIST I (PART-TIME),Cooper University Health Care,"Camden, NJ",2024-10-24,1.4 Participates in ongoing oncology data specialist and related educational activities. 2.4 Clears case data edits or seeks assistance from team member. Technical Skills and Responsibilities.,"Job types: Part-time
Job types cc: Part-time",https://www.indeed.com/m/viewjob?jk=72dcb55f2b661860,IndeedScraperUSAEng_72dcb55f2b661860,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN
