status,title,company,location,date,blurb,tags,link,id,provider,query,locale,wage,remoteness
NEW,"Customer Engineer II, Data Analytics, Google Cloud",Google,"San Francisco, CA",2024-11-01,"Experience with developing data warehousing, data lakes, batch/real-time event processing, streaming, data processing, data migrations, data visualization tools, and data governance on cloud native…","Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=8a214504541d6171,IndeedScraperUSAEng_8a214504541d6171,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN
NEW,Clinical Data Coordinator,CEDENT,"San Francisco, CA",2024-10-08,"Assist in the preparation and maintenance of data management documentation, including data review guidelines, data entry manuals, and query resolution logs.","Job types: Contract
Job types cc: Contract",https://www.indeed.com/m/viewjob?jk=6a3222e5437257cd,IndeedScraperUSAEng_6a3222e5437257cd,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN
NEW,"Group Product Manager, Databases & Analytics, Google Cloud",Google,"San Francisco, CA",2024-10-15,"Experience developing or launching products or technologies within databases, analytics, big data, or a related area. Bachelor's degree or equivalent practical experience.","Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=c4bc1889376d6af8,IndeedScraperUSAEng_c4bc1889376d6af8,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN
NEW,Senior Software Engineer - Data Catalog,Rippling,"San Francisco, CA 94104",2024-11-02,"Preferred experience designing and developing data schemas and data models. Act as a central partner, ensuring the data catalog integrates seamlessly across various data sources and systems, making it…","Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=d665b784a4c5f4e4,IndeedScraperUSAEng_d665b784a4c5f4e4,IndeedScraperUSAEng,Data,USA_ENGLISH,$135000 - $236250 yearly,UNKNOWN
NEW,Senior Data Scientist - Activision Blizzard Media,King.com,"San Francisco, CA",2024-10-03,Comfortable partnering with data engineering and software engineers to define data requirements and needs. Prior experience in advertising data products. Prior experience working with game studios.,"Job types: Part-time, Full-time
Benefits: Health savings account, AD&D insurance, Paid holidays, Disability insurance, Relocation assistance, Health insurance, Dental insurance, Flexible spending account, Tuition reimbursement, Parental leave, Vision insurance, 401(k) matching, Paid sick time
Job types cc: Part-time, Full-time",https://www.indeed.com/m/viewjob?jk=8cdb480fa3a53d22,IndeedScraperUSAEng_8cdb480fa3a53d22,IndeedScraperUSAEng,Data,USA_ENGLISH,$92920 - $171814 yearly,UNKNOWN
NEW,"Senior Machine Learning Scientist, (BRAID - Perturbation Biology)",Genentech,"San Francisco, CA 94015",2024-10-09,"Multimodal data integration, in particular between multiple measurement modalities and/or clinical patient data. Work on and integrate a variety of different data modalities such as molecular…","Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=5e1681c51ea60a2c,IndeedScraperUSAEng_5e1681c51ea60a2c,IndeedScraperUSAEng,Data,USA_ENGLISH,$165200 - $306800 yearly,UNKNOWN
NEW,Lead Data Analyst - Limited Term (Open),County of San Mateo,"San Mateo, CA",2024-10-03,Importing and exporting clinical data from other EMRs or health system data sources. ETL processes for data loads between disparate systems. Analyze data and recommend logical solutions to problems.,"Benefits: Dental insurance, Retirement plan",https://www.indeed.com/m/viewjob?jk=a5a3eaf05bac19dc,IndeedScraperUSAEng_a5a3eaf05bac19dc,IndeedScraperUSAEng,Data,USA_ENGLISH,$126193.6 - $157726.4 yearly,UNKNOWN
NEW,"PG&E O&S Gas, Transmission, Routine & Wood Mgt. - Database Management Specialist (DMS)",MGE,"San Francisco Bay Area, CA",2024-10-03,"A DMS is responsible for managing the VMD (Vegetation Management Database) used with PG&E’s Vegetation Management program including receiving downloads of data from field personnel, transferring data…","Job types: Full-time
Remote: Hybrid work
Benefits: Paid holidays, Disability insurance, Health insurance, Dental insurance, 401(k) 4% Match, Vision insurance, Life insurance, Paid sick time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=0bac98d6a71ae919,IndeedScraperUSAEng_0bac98d6a71ae919,IndeedScraperUSAEng,Data,USA_ENGLISH,$30 - $30 hourly,TEMPORARILY_REMOTE
NEW,"Customer Engineer II, Data Management, Spender, Google Cloud",Google,"San Francisco, CA",2024-10-31,Experience in disaster recovery and data backup strategies. Experience with data migration strategies and moving production systems either in on-premise / data center environments or migration to…,"Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=65f12fbfabdea3c5,IndeedScraperUSAEng_65f12fbfabdea3c5,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN
NEW,Technology Business Analyst - Limited Term,County of San Mateo,"San Mateo, CA",2024-10-26,The ideal candidate for this position will have: Experience gathering and documenting business requirements for business systems implementation and/or enhancementsExpertise in coordinating user…,"Benefits: Health insurance, Dental insurance, Retirement plan",https://www.indeed.com/m/viewjob?jk=f2dc28fd3c386cbd,IndeedScraperUSAEng_f2dc28fd3c386cbd,IndeedScraperUSAEng,Data,USA_ENGLISH,$47.44 - $59.34 hourly,UNKNOWN
