status,title,company,location,date,blurb,tags,link,id,provider,query,locale,wage,remoteness
NEW,NC LiteracyCorps AmeriCorps - Program Data Analyst - Pitt County,Duke NC LiteracyCorps,"Winterville, NC 28590",2024-10-09,Completing data entry as required to document services. Maintain and update data systems and databases. Support fiscal efforts by analyzing donor data and trends. 17 years old or older required.,"Job types: Part-time
Shifts: 8 hour shift, Evening shift, Day shift, After school
Job types cc: Part-time
Schedules: 8 hour shift, Weekends as needed, Evening shift, Day shift, After school, Monday to Friday",https://www.indeed.com/m/viewjob?jk=5350543008809212,IndeedScraperUSAEng_5350543008809212,IndeedScraperUSAEng,Data,USA_ENGLISH,$1454.54 - $1454.54 monthly,UNKNOWN
NEW,IT Business Intelligence/Data Analyst III,Winston-Salem State University,"Winston-Salem, NC 27110",2024-10-30,"Responsible for validating institutional data, identifying gaps in data, researching and recommending appropriate transformations of relevant data elements, research methods, and/or software tools to…","Job types: Full-time
Job types cc: Full-time
Schedules: Monday to Friday",https://www.indeed.com/m/viewjob?jk=c8c0aca02bd049b9,IndeedScraperUSAEng_c8c0aca02bd049b9,IndeedScraperUSAEng,Data,USA_ENGLISH,$87518 - $100000 yearly,UNKNOWN
NEW,Distance Learning Operations Specialist,Carolina Biological,"Burlington, NC 27215",2024-10-24,"This position requires understanding of operations/product management, manufacturing, drop box or similar content management system and salesforce. Assists the DL Operations Manager by maintaining and…","Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=2754c8ce83a11eae,IndeedScraperUSAEng_2754c8ce83a11eae,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN
NEW,"Senior Data Discovery and Enrichment Expert I, Hybrid or Remote (US)",RELX,"Raleigh, NC",2024-10-15,"They partner with data scientists, data engineers, and product managers to create cutting-edge artificial intelligence solutions with legal data. As a Senior Data Discovery and Enrichment Expert I,…","Job types: Full-time
Remote: Remote, Hybrid work
Benefits: Employee stock purchase plan, Disability insurance, Health insurance, Flexible spending account, Retirement plan
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=355f28a761a6d859,IndeedScraperUSAEng_355f28a761a6d859,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN
NEW,Lead Consultant – BA for Agri Domain,Infosys,"Raleigh, NC",2024-10-23,We offer business and domain leadership while addressing client problems and partnering with them in their digital journey navigating the next. The person must have relevant Protocol/ Experimentation…,,https://www.indeed.com/m/viewjob?jk=a1220dc509495ceb,IndeedScraperUSAEng_a1220dc509495ceb,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN
NEW,"Certified Pharmacy Technician (CPhT), Long Term Care, Data-Entry Technician","Windsor Point Pharmacy, Inc.","Clayton, NC 27520",2024-10-07,The ideal candidate will have a passion for patient care and possess the necessary skills to excel in a fast-paced healthcare environment. Assist pharmacists in preparing and dispensing medications.,"Job types: Full-time
Shifts: 8 hour shift, No nights, Day shift
Benefits: Free parking, Store discount, Health insurance, Dental insurance, Paid time off, Vision insurance, Employee discount, Life insurance, Prescription drug insurance, Paid sick time
Job types cc: Full-time
Schedules: 8 hour shift, No weekends, No nights, Day shift, Monday to Friday, Weekends & holidays off",https://www.indeed.com/m/viewjob?jk=26876b22ad7e7377,IndeedScraperUSAEng_26876b22ad7e7377,IndeedScraperUSAEng,Data,USA_ENGLISH,$16 - $20 hourly,UNKNOWN
NEW,DevOps Database Architect,UST Global,"Raleigh, NC",2024-11-05,"Ensure compliance with data protection regulations and internal security policies. Lead data partitioning, sharding, and load balancing to improve database efficiency. Visit us at UST.com.","Job types: Full-time
Benefits: Paid jury duty, Health savings account, Paid holidays, Disability insurance, Health insurance, Dental insurance, Flexible spending account, Vision insurance, 401(k) matching, Bereavement leave, Life insurance, Paid sick time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=5db71f514c6f3420,IndeedScraperUSAEng_5db71f514c6f3420,IndeedScraperUSAEng,Data,USA_ENGLISH,$100000 - $150000 yearly,UNKNOWN
NEW,Data & Research Assistant- Co-Responder Program,"RHA Health Services, LLC","Burlington, NC 27215",2024-10-07,"Experience with data collection, program and grant management in sectors such as public health, behavioral health, policy, or data and evaluation. This position oversees the collection and monitoring…","Job types: Full-time
Benefits: Health insurance, Paid time off, Employee discount
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=47dda4b26d392556,IndeedScraperUSAEng_47dda4b26d392556,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN
NEW,Programmer / Database Specialist,Banknote Corp of America,"Browns Summit, NC 27214",2024-11-01,"Implement and maintain data security measures to protect sensitive information. Write reports using SQL, Crystal Reports, Telerik or other reporting tools to extract and analyze data for business…","Job types: Full-time
Shifts: Night shift, Day shift
Job types cc: Full-time
Schedules: Night shift, Day shift, Monday to Friday",https://www.indeed.com/m/viewjob?jk=9cdfe0f57a9339e7,IndeedScraperUSAEng_9cdfe0f57a9339e7,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN
NEW,"Principal/Associate Director, Statistical Programming",Priovant Therapeutics,"Durham, NC",2024-10-12,Provide oversight of Statistical Programming from CROs by ensuring the programming tasks are completed and delivered in accordance with timelines and data quality standards.,,https://www.indeed.com/m/viewjob?jk=710315dd9113d527,IndeedScraperUSAEng_710315dd9113d527,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN
NEW,Master Data Coordinator 2,Fujifilm,"Holly Springs, NC 27540",2024-10-16,"Overview: Follow Your Genki to North America's largest, state-of-the-art Life Science Manufacturing Facility & CDMO The work we do at FDB has never been more important—and we are looking for…",,https://www.indeed.com/m/viewjob?jk=13b3436675aecd15,IndeedScraperUSAEng_13b3436675aecd15,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN
NEW,Clinical Data Specialist,CEDENT,"Raleigh, NC",2024-11-01,"Reporting to the Clinical Data Manager, you will develop real-world data variables from structured and unstructured sources, design data capture forms, and establish procedures for data abstraction.","Job types: Full-time
Remote: Hybrid work
Benefits: Work from home
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=2a51c4b8618f5a13,IndeedScraperUSAEng_2a51c4b8618f5a13,IndeedScraperUSAEng,Data,USA_ENGLISH,,TEMPORARILY_REMOTE
NEW,HUB IT Analyst,HITACHI ENERGY USA INC,"Raleigh, NC 27606",2024-11-06,"As IT Analyst you support the BST Management team by managing, monitor, and analyzing IT demand request, IT projects, as well as our Strategic Digital Transformation projects.","Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=40f11b17fad80516,IndeedScraperUSAEng_40f11b17fad80516,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN
NEW,Housewares Processor / Warehouse Worker,Prime Time Leasing,"Clayton, NC 27520",2024-10-11,"Prime Time Leasing is looking for a hard-working individual to work out of our Clayton (Raleigh), North Carolina location to clean and pack housewares items for delivery to our customers.","Job types: Full-time
Benefits: Health insurance, Dental insurance, 401(k), Paid time off
Job types cc: Full-time
Schedules: Overtime, No weekends, Monday to Friday, Weekends & holidays off",https://www.indeed.com/m/viewjob?jk=5cfa9ccce85e7702,IndeedScraperUSAEng_5cfa9ccce85e7702,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN
NEW,"Developer Relations, Platform AI",Google,"Durham, NC",2024-10-14,Act as an advocate and promoter for generative AI technologies within the developer and data science communities. Passion for developer communities and a genuine interest in enabling and supporting…,"Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=3f6f5363067efe31,IndeedScraperUSAEng_3f6f5363067efe31,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN
NEW,"Senior, Salesforce Business Analyst",Circle K,"Raleigh, NC 27606",2024-10-16,"Manage the configuration, customization, and maintenance of our Salesforce platform. Collaborate with cross-functional teams to implement and optimize Salesforce features.",,https://www.indeed.com/m/viewjob?jk=54d0b8b468a2eb28,IndeedScraperUSAEng_54d0b8b468a2eb28,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN
NEW,Workday Certified Data Configuration Lead - Education & Government,Accenture,"Raleigh, NC 27609",2024-11-01,"Responsible for assisting clients in mapping legacy data, identifying data quality issues and overall responsibility over conversion activates on the project. Travel may be required for this role.","Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=7e00db48265a780a,IndeedScraperUSAEng_7e00db48265a780a,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN
NEW,Business Intelligence Analyst II *remote/hybrid*,WakeMed Health & Hospitals,"Raleigh, NC 27604",2024-10-31,The Business Intelligence Analyst is knowledgeable in the use of WakeMed data and skilled in use of Business Intelligence tools in order to transform data into information for business decision making…,"Job types: Full-time
Remote: Hybrid work
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=7f5b5a6c3c7b1e9c,IndeedScraperUSAEng_7f5b5a6c3c7b1e9c,IndeedScraperUSAEng,Data,USA_ENGLISH,$37.2 - $61.38 hourly,TEMPORARILY_REMOTE
NEW,High-Volume Document Specialist,Courthouse Computer Systems,"Chapel Hill, NC 27517",2024-10-15,"Courthouse Computer Systems is seeking full-time team members as High-Volume Document Specialists. Those with specific interests in history, technology or archiving will be well positioned to thrive…","Job types: Full-time
Shifts: 8 hour shift
Job types cc: Full-time
Schedules: 8 hour shift",https://www.indeed.com/m/viewjob?jk=4a9bd1dda56022e5,IndeedScraperUSAEng_4a9bd1dda56022e5,IndeedScraperUSAEng,Data,USA_ENGLISH,$15 - $15 hourly,UNKNOWN
NEW,Business Development Executive – Real-world Data Solutions,Labcorp,"Burlington, NC 27215",2024-11-02,"Analytical mindset with experience in data analysis, reporting, and identifying the “so what” behind the data. Leverage Salesforce.com and other data sources for commercial sales metrics and customer…","Job types: Full-time
Remote: Remote
Benefits: Employee stock purchase plan, Disability insurance, Health insurance, Dental insurance, 401(k), Tuition reimbursement, Paid time off, Vision insurance
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=b98c19e3b489eb2b,IndeedScraperUSAEng_b98c19e3b489eb2b,IndeedScraperUSAEng,Data,USA_ENGLISH,$120000 - $140000 yearly,FULLY_REMOTE
NEW,Executive Assistant - Enterprise & Data Analytics,First Citizens Bank.,"Raleigh, NC 27609",2024-10-25,"Provides financial and business data management. As Executive Assistant, you will be member of the bank’s Enterprise Data & Analytics organization. Additionally, the assistant represents the executive…","Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=ea58e1d70a0a5992,IndeedScraperUSAEng_ea58e1d70a0a5992,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN
NEW,Application Development and Data Analysis Specialist,ORAU,"Research Triangle Park, NC 27711",2024-10-22,"Development of data analysis visualizations. Development and debugging of modules for NTA data analysis. As a team member, you will provide application development and data analysis support for the…","Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=1baedf9f387850d9,IndeedScraperUSAEng_1baedf9f387850d9,IndeedScraperUSAEng,Data,USA_ENGLISH,$32.01 - $32.01 hourly,UNKNOWN
