status,title,company,location,date,blurb,tags,link,id,provider,query,locale,wage,remoteness
NEW,Product Data Specialist: ADAS,"Reve Labs, Inc","New York, NY 10006",2024-10-07,"Ensure data accuracy through testing, vehicle knowledge, and rigorous data management. Experience in automotive data management with a strong background in ADAS, OEM repair documentation, and/or…","Job types: Full-time
Remote: Hybrid work
Benefits: Unlimited paid time off, Dental insurance, 401(k), Vision insurance
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=061cf848025a80d3,IndeedScraperUSAEng_061cf848025a80d3,IndeedScraperUSAEng,Data,USA_ENGLISH,$100000 - $120000 yearly,TEMPORARILY_REMOTE
NEW,Data Engineer,Capgemini,"New York, NY 10003",2024-11-04,Collaborate with data scientists and analysts to understand data requirements and optimize data models. Ensure data quality integrity and security throughout the data lifecycle.,"Job types: Full-time
Benefits: Paid parental leave, Paid holidays, Health insurance, Dental insurance, 401(k), Paid time off, Adoption assistance, Parental leave, Vision insurance
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=5e5f895151756c3b,IndeedScraperUSAEng_5e5f895151756c3b,IndeedScraperUSAEng,Data,USA_ENGLISH,$103330 - $128656 yearly,UNKNOWN
NEW,Marketing data entry,Harbor Child Care,"Mineola, NY 11501",2024-10-16,Basic math skills for data verification and calculations. Collaborate with team members to streamline data management processes. Familiarity with computerized systems for data management is preferred.,"Job types: Full-time
Shifts: 12 hour shift
Benefits: Health insurance, Dental insurance, 401(k), Paid time off, Vision insurance, Flexible schedule
Job types cc: Full-time
Schedules: 12 hour shift",https://www.indeed.com/m/viewjob?jk=8ba0c2c105c6839e,IndeedScraperUSAEng_8ba0c2c105c6839e,IndeedScraperUSAEng,Data,USA_ENGLISH,$23.19 - $36.74 hourly,UNKNOWN
NEW,"Senior HIM Data Integrity Specialist - Lake Success, NY",Optum,"Lake Success, NY 11020",2024-10-07,"2+ years of HIM data/chart analysis or identity management experience. Analyze data for errors and works to resolve them, escalating appropriately when necessary. High School Diploma/GED (or higher).",Benefits: 401(k) matching,https://www.indeed.com/m/viewjob?jk=2cc61e39f2dd8c58,IndeedScraperUSAEng_2cc61e39f2dd8c58,IndeedScraperUSAEng,Data,USA_ENGLISH,$23.22 - $45.43 hourly,UNKNOWN
NEW,Data Abstractor,Columbia University,"New York, NY",2024-10-07,"2 years plus related nursing data management preferred. The Data Abstractor will be responsible for data abstraction and data entry and concurrent/retrospective data review for the ACC, STS, TVT and…","Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=77f854bf917772a3,IndeedScraperUSAEng_77f854bf917772a3,IndeedScraperUSAEng,Data,USA_ENGLISH,$70500 - $78600 yearly,UNKNOWN
NEW,Jr./Business Intelligence Analyst,"JRM Construction Management, LLC","New York, NY",2024-10-22,"Design, develop and enhance data visualizations that make data more accessible, understandable, and actionable. Assist in the development of data management policies and procedures.",Remote: Hybrid work,https://www.indeed.com/m/viewjob?jk=1ccfd2fb6c659c9e,IndeedScraperUSAEng_1ccfd2fb6c659c9e,IndeedScraperUSAEng,Data,USA_ENGLISH,$75000 - $95000 yearly,TEMPORARILY_REMOTE
NEW,Data Steward,Sumitomo Mitsui Banking Corporation,"White Plains, NY 10601",2024-10-28,"Experience in developing data standards, processes, and policies, as well as developing and implementing enterprise data strategies, operational data stores and data quality tools.","Job types: Full-time
Benefits: Work from home
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=2423d4435c0484fc,IndeedScraperUSAEng_2423d4435c0484fc,IndeedScraperUSAEng,Data,USA_ENGLISH,$158000 - $198000 yearly,UNKNOWN
NEW,Fineos Business Analyst,Laiba Technologies,"New York, NY 11226",2024-10-30,"Collaborate with end users to gain a thorough understanding of the business processes and workflows that the FINEOS system will support. Develop, document, and prioritize user stories for the FINEOS…","Job types: Contract
Shifts: 8 hour shift
Job types cc: Contract
Schedules: 8 hour shift",https://www.indeed.com/m/viewjob?jk=945b578e9e34db41,IndeedScraperUSAEng_945b578e9e34db41,IndeedScraperUSAEng,Data,USA_ENGLISH,$60 - $65 hourly,UNKNOWN
NEW,Tax-Jersey City-Analyst-Data Analytics,Goldman Sachs,"Jersey City, NJ 07302",2024-11-02,Implementing data strategies and converting logical models into physical data models. Working with data and analytics experts to strive for greater functionality in our data systems.,"Job types: Part-time, Full-time
Job types cc: Part-time, Full-time",https://www.indeed.com/m/viewjob?jk=c387658898d1dc04,IndeedScraperUSAEng_c387658898d1dc04,IndeedScraperUSAEng,Data,USA_ENGLISH,$75000 - $100000 yearly,UNKNOWN
NEW,"Data Management Coordinator, Bureau of Environmental Disease and Injury Prevention",DEPT OF HEALTH/MENTAL HYGIENE,"Manhattan, NY",2024-10-07,"Contact laboratories and doctors' offices to obtain missing or incomplete information needed for data entry. Data Management Coordinator, Bureau of Environmental Disease and Injury Prevention.","Job types: Full-time
Benefits: Wellness program, Work from home, Loan forgiveness
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=a0fa20d85d8c099a,IndeedScraperUSAEng_a0fa20d85d8c099a,IndeedScraperUSAEng,Data,USA_ENGLISH,$45040 - $51796 yearly,UNKNOWN
