status,title,company,location,date,blurb,tags,link,id,provider,query,locale,wage,remoteness
NEW,Jr SQL /ETL Developer/Database developer,Meta,"Menlo Park, CA 94025",2024-10-26,"This could include roles such as data analyst, data scientist, data engineer, or similar positions. Collaborate with engineers, product managers, and data scientists to understand data needs,…",,https://www.indeed.com/m/viewjob?jk=d7656cc06848a34a,IndeedScraperUSAEng_d7656cc06848a34a,IndeedScraperUSAEng,Data,USA_ENGLISH,$173000 - $242000 yearly,UNKNOWN
NEW,Master Data Coordinator,Jelly Belly Candy Company,"Fairfield, CA 94534",2024-10-07,"Ensuring quality of master data, as well as, development and documentation of processes with other functional data owners to support ongoing maintenance and data integrity.",,https://www.indeed.com/m/viewjob?jk=b365278e83f79e92,IndeedScraperUSAEng_b365278e83f79e92,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN
NEW,"Director of Data Engineering, Data and Systems",Pendulum™,"San Francisco, CA",2024-10-07,"10+ years of experience building and managing data infrastructure, with expertise in data pipelines, cloud platforms, and big data technologies. This role will be pivotal in building and maintaining…","Job types: Full-time
Remote: Hybrid work
Benefits: Commuter assistance, Disability insurance, Health insurance, Dental insurance, Vision insurance, 401(k) matching
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=b5ba88ce37f9ac66,IndeedScraperUSAEng_b5ba88ce37f9ac66,IndeedScraperUSAEng,Data,USA_ENGLISH,$175000 - $225000 yearly,TEMPORARILY_REMOTE
NEW,"AIML-Principal Data Scientist, Measurements",Apple,"Cupertino, CA",2024-11-03,Experience leading strategic technical projects with multiple stakeholders and directing work of other engineers and/or data scientists or as a technical lead.,"Job types: Full-time
Benefits: Employee stock purchase plan, Health insurance, Dental insurance, RSU, Retirement plan
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=dc824ca74fc6d675,IndeedScraperUSAEng_dc824ca74fc6d675,IndeedScraperUSAEng,Data,USA_ENGLISH,$207800 - $378700 yearly,UNKNOWN
NEW,Software Data Engineer - Apple Media Products,Apple,"Cupertino, CA",2024-11-03,"Solid understanding of data-modeling and data-architecture optimized for big data patterns, such as efficient storage and query on HDFS. Also, understand data well and be able to help to analyze data…","Job types: Full-time
Benefits: Employee stock purchase plan, Health insurance, Dental insurance, RSU, Retirement plan
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=88be6654d3dd35ac,IndeedScraperUSAEng_88be6654d3dd35ac,IndeedScraperUSAEng,Data,USA_ENGLISH,$175800 - $312200 yearly,UNKNOWN
NEW,Staff Data Engineer,Rippling,"San Francisco, CA 94105",2024-10-07,Building out a data masking and suppression system for handling sensitive data. We are looking for an experienced data engineer to join our fast-growing data engineering practice.,"Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=1888ffc08da7e728,IndeedScraperUSAEng_1888ffc08da7e728,IndeedScraperUSAEng,Data,USA_ENGLISH,$159000 - $278250 yearly,UNKNOWN
NEW,Data Center Technician L3,NTT DATA,"Sacramento, CA 95834",2024-10-07,Works with the CF Ops team to ensure the data center operates at maximum operational efficiency. Two to 3 years as a data center technician L2 in a critical facility environment.,"Job types: Full-time
Benefits: Disability insurance, Health insurance, Dental insurance, 401(k), Flexible spending account, Paid time off, Vision insurance
Job types cc: Full-time
Schedules: Weekends as needed, Nights as needed",https://www.indeed.com/m/viewjob?jk=50534b2ce80a5589,IndeedScraperUSAEng_50534b2ce80a5589,IndeedScraperUSAEng,Data,USA_ENGLISH,$40 - $60 hourly,UNKNOWN
NEW,Software Engineer III (Spark) - Cloud Data Platform,Guidewire Software,"San Mateo, CA",2024-11-01,5+ years' experience working in a similar Senior Software Engineer role within a data platform/data engineering team. Guidewire’s data platform already processes Billions of real-time data to provide…,"Job types: Full-time
Remote: Hybrid work
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=026ce5e652c32a46,IndeedScraperUSAEng_026ce5e652c32a46,IndeedScraperUSAEng,Data,USA_ENGLISH,$108000 - $155000 yearly,TEMPORARILY_REMOTE
NEW,"Data Center Technician I (SV1 Day Shift) - San Jose, CA",CoreSite,"San Jose, CA",2024-10-07,"Technicians will learn and gain experience through assisting more experienced data center technicians in day to day operations of the data center including security functions, general site response…","Job types: Full-time
Shifts: Day shift
Benefits: Free parking, Health savings account, AD&D insurance, Employee stock purchase plan, Paid holidays, Disability insurance, Health insurance, Dental insurance, 401(k), Flexible spending account, Tuition reimbursement, Paid time off, Parental leave, Employee assistance program, Vision insurance, Pet insurance
Job types cc: Full-time
Schedules: Weekends as needed, Day shift, Holidays, On call",https://www.indeed.com/m/viewjob?jk=725f75308e1567d6,IndeedScraperUSAEng_725f75308e1567d6,IndeedScraperUSAEng,Data,USA_ENGLISH,$25 - $28 hourly,UNKNOWN
NEW,AI Engineer,Hyperbolic Labs,"San Francisco, CA",2024-10-07,"As we prepare for growth with our seed round, backed by industry leaders, our team—led by co-founders with PhDs in AI, Math, and Computer Science—is poised to redefine computing.","Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=a5e4c95ca018bb2b,IndeedScraperUSAEng_a5e4c95ca018bb2b,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN
NEW,Chief Data and Analytics Officer,"Keysight Technologies, Inc.","Santa Rosa, CA 95403",2024-11-06,"Define a robust architecture for data management, data science and Keysight’s AI ambitions. Experience with AI, data management, and analytics solutions. Learn more about what we do.","Job types: Part-time, Full-time
Remote: Remote
Benefits: Health savings account, Employee stock purchase plan, Paid holidays, Disability insurance, Health insurance, Dental insurance, 401(k), Flexible spending account, Tuition reimbursement, Adoption assistance, Family leave, Vision insurance
Job types cc: Part-time, Full-time",https://www.indeed.com/m/viewjob?jk=2745e8e68c5074c1,IndeedScraperUSAEng_2745e8e68c5074c1,IndeedScraperUSAEng,Data,USA_ENGLISH,$183910 - $306520 yearly,FULLY_REMOTE
NEW,"Software Development Engineer, Cloud/Data, eero Software Services",Amazon.com Services LLC,"San Francisco, CA",2024-10-07,"3+ years of non-internship professional software development experience. 2+ years of non-internship design or architecture (design patterns, reliability and scaling) of new and existing systems…","Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=a713683b674d4a9c,IndeedScraperUSAEng_a713683b674d4a9c,IndeedScraperUSAEng,Data,USA_ENGLISH,$129300 - $223600 yearly,UNKNOWN
NEW,"Manager, Business Intelligence & Data Visualization",GroupM Choreograph,"San Francisco, CA 94104",2024-10-08,"3 – 5 years’ of work experience in data management, data visualization and data analytics preferably in a marketing and/or media agency. Manage data provisioning Define the taxonomy for the activation…","Benefits: Health insurance, Dental insurance, Paid time off, Vision insurance",https://www.indeed.com/m/viewjob?jk=f2794fe935037c36,IndeedScraperUSAEng_f2794fe935037c36,IndeedScraperUSAEng,Data,USA_ENGLISH,$60000 - $140000 yearly,UNKNOWN
NEW,"Senior Principal Scientist, Data Analytics and Pharmacometric Modeling",Amgen,"San Francisco, CA",2024-10-07,"Expand the pharmacometric modeling to include information from novel data sources (e.g medical images, electronic health records, published data on molecular mechanisms, etc) and support quantitative…","Benefits: Disability insurance, Health insurance, Dental insurance, Flexible spending account, Vision insurance, Retirement plan",https://www.indeed.com/m/viewjob?jk=d9272ce454b05e3c,IndeedScraperUSAEng_d9272ce454b05e3c,IndeedScraperUSAEng,Data,USA_ENGLISH,$162147 - $189560 yearly,UNKNOWN
NEW,"Sr Data Scientist, Product Analytics - USDS",TikTok,"Mountain View, CA 94041",2024-10-07,"Deep dive into data sources, understand their limitations, and communicate complex data insights through exploratory analysis and research to suggest improvement. Experience with SQL, Python, or R.","Remote: Hybrid work
Benefits: Paid parental leave, Health savings account, AD&D insurance, Paid holidays, Disability insurance, Health insurance, Dental insurance, Flexible spending account, RSU, Paid time off, Parental leave, Employee assistance program, Vision insurance, 401(k) matching, Paid sick time",https://www.indeed.com/m/viewjob?jk=2396d95e768f8067,IndeedScraperUSAEng_2396d95e768f8067,IndeedScraperUSAEng,Data,USA_ENGLISH,$176355 - $329333 yearly,TEMPORARILY_REMOTE
NEW,Software Engineer (data platform),Genmo,"San Francisco, CA",2024-10-26,Design highly scalable data infrastructure and systems to process petabyte-scale data stores. Build monitoring systems to ensure reliability of data infrastructure. This is a senior/staff role.,"Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=24f296eb96c24371,IndeedScraperUSAEng_24f296eb96c24371,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN
NEW,Accounting and Data Analyst,Community Health Trust of Pajaro Valley,"Watsonville, CA 95076",2024-10-19,"Experience with MS Access and data analysis software is a plus. Advanced skills in Excel, including complex formulas, pivot tables, and data modeling. Reports to: | Director of Financial Operations.","Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=0440573a59561095,IndeedScraperUSAEng_0440573a59561095,IndeedScraperUSAEng,Data,USA_ENGLISH,$58000 - $75000 yearly,UNKNOWN
NEW,Staff Data Scientist – Prognostics and Health Monitoring,Joby Aviation,"Santa Cruz, CA 95060",2024-10-07,"Automate data collection and processing algorithms, including the generation of Machine Learning/Deep Learning models for automatic data labeling and anomaly detection.","Job types: Full-time
Benefits: Employee stock purchase plan, Disability insurance, Health insurance, RSU, Paid time off, 401(k) matching, Life insurance
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=509b833cb4e045ea,IndeedScraperUSAEng_509b833cb4e045ea,IndeedScraperUSAEng,Data,USA_ENGLISH,$148700 - $198200 yearly,UNKNOWN
NEW,Data Center Department Head,Lawrence Berkeley National Laboratory,"San Francisco Bay Area, CA",2024-10-07,NERSC’s mission is to accelerate scientific discovery through high performance computing and data analysis for the DOE Office of Science programs. Overall responsibilities of the department include…,"Job types: Full-time
Remote: Hybrid work
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=8be5886513a387ca,IndeedScraperUSAEng_8be5886513a387ca,IndeedScraperUSAEng,Data,USA_ENGLISH,$198252 - $334536 yearly,TEMPORARILY_REMOTE
NEW,"Data Engineer (Python, Data Engg, Kafka) | Hybrid",Zenith Services,"Sunnyvale, CA",2024-10-07,"Expertise with working on at least one big data technology like Hadoop, Kafka, Cassandra. Execution: Execute & Automate software process at scale & quality to acquire data and execute annual allocated…",,https://www.indeed.com/m/viewjob?jk=ec01ad9471141235,IndeedScraperUSAEng_ec01ad9471141235,IndeedScraperUSAEng,Data,USA_ENGLISH,$75 - $75 hourly,UNKNOWN
NEW,Senior Data Engineer,Stanford University,"Stanford, CA",2024-10-07,"As part of this project, we are seeking a talented senior data engineer with extensive experience in data infrastructure engineering to lead a team of engineers in building robust data pipelines.","Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=75d5aec15308b024,IndeedScraperUSAEng_75d5aec15308b024,IndeedScraperUSAEng,Data,USA_ENGLISH,$132000 - $165000 yearly,UNKNOWN
NEW,2025 Fall Associate- Economics and Data Analytics,"Berkeley Research Group, LLC","Emeryville, CA 94608",2024-10-07,Associates can implement research skills and complex data analytics techniques on cases for a variety of healthcare clients. Review data sets and qualitative materials to understand the unique…,"Job types: Full-time
Remote: Hybrid work
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=2f69e57c7017b04d,IndeedScraperUSAEng_2f69e57c7017b04d,IndeedScraperUSAEng,Data,USA_ENGLISH,$75000 - $100000 yearly,TEMPORARILY_REMOTE
NEW,Staff Data Analyst (Manufacturing Systems Engineering),10x Genomics,"Pleasanton, CA",2024-10-07,"The ideal candidate will have a strong background in data engineering, data visualization and data analysis. This is a key position for MSE and the broader Operations team to ensure development of…",,https://www.indeed.com/m/viewjob?jk=584dc03c01288689,IndeedScraperUSAEng_584dc03c01288689,IndeedScraperUSAEng,Data,USA_ENGLISH,$161500 - $218500 yearly,UNKNOWN
NEW,"Account Executive, Data Cloud",Salesforce,"San Francisco, CA 94105",2024-10-22,"Expertise in modern cloud data platforms (e.g., Snowflake, Databricks, Big Query) and data analytics tools (e.g., Tableau), acquired through years of technology sales experience.","Job types: Full-time
Benefits: Health insurance, Life insurance, Retirement plan
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=537c01e6705e0e2e,IndeedScraperUSAEng_537c01e6705e0e2e,IndeedScraperUSAEng,Data,USA_ENGLISH,$125700 - $216200 yearly,UNKNOWN
NEW,"Senior Data Scientist, Analytics - Core Product",Discord,"San Francisco, CA 94107",2024-11-05,"If you’re passionate about data, impact, and working on an amazing team, read on! If you’re driven by data, eager to make a meaningful impact, and excited to collaborate with an amazing team, we want…","Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=7500bc6de06b4a55,IndeedScraperUSAEng_7500bc6de06b4a55,IndeedScraperUSAEng,Data,USA_ENGLISH,$183000 - $201500 yearly,UNKNOWN
NEW,Big Data Engineer with GCP (W2),Aptivacorp,"Sunnyvale, CA 94086",2024-10-07,Develop logical and physical data models for big data platforms. 5+ years of hands-on experience with developing data warehouse solutions and data products. Experience building data pipelines in GCP.,"Job types: Full-time, Contract
Shifts: 8 hour shift, Day shift
Job types cc: Full-time, Contract
Schedules: 8 hour shift, Day shift, On call",https://www.indeed.com/m/viewjob?jk=94e3c78f35c7cf07,IndeedScraperUSAEng_94e3c78f35c7cf07,IndeedScraperUSAEng,Data,USA_ENGLISH,$60 - $62 hourly,UNKNOWN
NEW,Data Scientist - Financial Analytics,Cargomatic,"San Francisco, CA 94105",2024-10-19,"Work closely with IT and data engineering teams to ensure data availability, quality, and accessibility across finance-focused data projects. Ensure data integrity and accuracy within dashboards,…","Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=cac284fb36928ced,IndeedScraperUSAEng_cac284fb36928ced,IndeedScraperUSAEng,Data,USA_ENGLISH,$130000 - $160000 yearly,UNKNOWN
NEW,Data Entry Clerk - In Office (M-F 5:30am-2pm),Apria Healthcare LLC,"Woodland, CA 95776",2024-10-23,"Medical, dental, and vision insurance, available on first working day. 401(k), eligibility after 30 days of employment. Enters information taken from Equipment Repair Orders and enters into the…","Job types: Full-time
Benefits: Employee stock purchase plan, Health insurance, Dental insurance, 401(k), Tuition reimbursement, Vision insurance
Job types cc: Full-time
Schedules: Monday to Friday",https://www.indeed.com/m/viewjob?jk=f53bd023618dd20a,IndeedScraperUSAEng_f53bd023618dd20a,IndeedScraperUSAEng,Data,USA_ENGLISH,$17.5 - $17.5 hourly,UNKNOWN
NEW,Clinical Data Specialist,BAKER PLACES,"San Francisco, CA 94103",2024-10-22,"Provide data entry of QM data into the quality database. Audit clinical record data on a regular basis to ensure data integrity, quality, identify data anomalies, and enter results into databases.",,https://www.indeed.com/m/viewjob?jk=24e99653b5799f0b,IndeedScraperUSAEng_24e99653b5799f0b,IndeedScraperUSAEng,Data,USA_ENGLISH,$68000 - $75000 yearly,UNKNOWN
NEW,KEY DATA OPERATOR,Franchise Tax Board,"Sacramento County, CA",2024-11-05,"Under the close supervision of the Tax Program Supervisor in the Information Capture and Banking Section, the Key Data Operator performs data entry on various workloads in a production environment.","Job types: Full-time
Shifts: 8 hour shift, Day shift
Benefits: Free parking
Job types cc: Permanent, Full-time
Schedules: 8 hour shift, Overtime, Weekends as needed, Day shift, Monday to Friday, Holidays",https://www.indeed.com/m/viewjob?jk=982ab4d8e057fc0a,IndeedScraperUSAEng_982ab4d8e057fc0a,IndeedScraperUSAEng,Data,USA_ENGLISH,$3075 - $4373 monthly,UNKNOWN
