status,title,company,location,date,blurb,tags,link,id,provider,query,locale,wage,remoteness,state_zip,state,city,job_level
NEW,Credit Strategy Data Scientist,Bill.com,"San Jose, CA",2024-10-03,Demonstrated history of addressing business challenges using data and analytics. Minimum 2 years of experience in risk analytics or data science within credit or online payment industry.,"Benefits: Health savings account, Employee stock purchase plan, Paid holidays, Disability insurance, Health insurance, Dental insurance, 401(k), Flexible spending account, Paid time off, Employee assistance program, Vision insurance, Employee discount, Life insurance",https://www.indeed.com/m/viewjob?jk=d88ba941796f329e,IndeedScraperUSAEng_d88ba941796f329e,IndeedScraperUSAEng,Data,USA_ENGLISH,$110200 - $132100 yearly,UNKNOWN, CA,CA,San Jose,Uncategorized
NEW,DATABASE ADMINISTRATOR,Om Tek,"Irving, TX 75038",2024-10-05,"9am to 6pm; Monday through Friday. JOB DUTIES : Design, develop, implement, test advanced software modules in complex IT environments; provide high level technical support; Utilizing Oracle Enterprise…","Job types: Full-time
Job types cc: Full-time
Schedules: Monday to Friday",https://www.indeed.com/m/viewjob?jk=f2e1c22eab5c6a13,IndeedScraperUSAEng_f2e1c22eab5c6a13,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN, TX 75038,TX,Irving,Uncategorized
NEW,Data Scientist,Apple,"Cupertino, CA",2024-11-10,"Deep expertise in data and model evaluation. Solid foundation in data science, deep learning and statistics. 3+ years of experience with significant experience in large-scale data analytic.","Benefits: Employee stock purchase plan, Health insurance, Dental insurance, RSU, Retirement plan",https://www.indeed.com/m/viewjob?jk=b7898ec674cc9781,IndeedScraperUSAEng_b7898ec674cc9781,IndeedScraperUSAEng,Data,USA_ENGLISH,$143100 - $264200 yearly,UNKNOWN, CA,CA,Cupertino,Uncategorized
NEW,"Reporter, Data, Data Journalism Team",The New York Times,"New York, NY",2024-10-03,"As a data reporter, you’ll combine traditional reporting with data analysis to publish stories on a variety of deadlines. You have excellent data analysis skills, with the news judgment to match, and…","Job types: Full-time
Remote: Hybrid work
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=435912f3b9db5520,IndeedScraperUSAEng_435912f3b9db5520,IndeedScraperUSAEng,Data,USA_ENGLISH,$111049.64 - $140000 yearly,TEMPORARILY_REMOTE, NY,NY,New York,Uncategorized
NEW,Data Solution Architect,Corpay,"Dallas, TX",2024-11-05,"You have experience in enterprise data modeling, data synchronization, data and technology architecture. Supporting mission critical business applications related to data matching that include a…","Job types: Full-time
Shifts: 8 hour shift
Remote: Remote
Benefits: Dental insurance, 401(k), Paid time off, Vision insurance, Employee discount
Job types cc: Full-time
Schedules: 8 hour shift, Holidays",https://www.indeed.com/m/viewjob?jk=750814a0033da0e7,IndeedScraperUSAEng_750814a0033da0e7,IndeedScraperUSAEng,Data,USA_ENGLISH,,FULLY_REMOTE, TX,TX,Dallas,Uncategorized
NEW,"Machine Learning Researcher, Multimodal Foundation Models",Apple,"Sunnyvale, CA",2024-11-02,"Summary Posted: May 30, 2024 Role Number:200526165 Imagine what you could do here. At Apple, new ideas have a way of becoming extraordinary products, services, and customer experiences very…","Benefits: Employee stock purchase plan, Health insurance, Dental insurance, RSU, Retirement plan",https://www.indeed.com/m/viewjob?jk=663fe059cf574c01,IndeedScraperUSAEng_663fe059cf574c01,IndeedScraperUSAEng,Data,USA_ENGLISH,$175800 - $312200 yearly,UNKNOWN, CA,CA,Sunnyvale,Uncategorized
NEW,Data Steward,Zoetis,"Parsippany-Troy Hills, NJ 07054",2024-10-16,"Experience with tools and technologies used for data governance, data quality and data cataloging. Experience in data management, data governance, data quality or a similar role is required.","Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=488fb424edd3c274,IndeedScraperUSAEng_488fb424edd3c274,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN, NJ 07054,NJ,Parsippany-Troy Hills,Uncategorized
NEW,Security Officer - Data Center,GardaWorld Security Services U.S.,"Midlothian, TX",2024-11-02,Hourly Pay Rate: $19. Shift: applicant must have open availability and personal vehicle. GardaWorld is the world’s largest privately-owned security services company. A valid Driver's License.,Benefits: Opportunities for advancement,https://www.indeed.com/m/viewjob?jk=5d7095537e0c0c01,IndeedScraperUSAEng_5d7095537e0c0c01,IndeedScraperUSAEng,Data,USA_ENGLISH,$19 - $19 hourly,UNKNOWN, TX,TX,Midlothian,Uncategorized
NEW,Data Product Researcher/Strategist,CSTE,"Long Island City, NY 11101",2024-10-09,Example: Automating data flows between multiple data sources including vital statistics and registry data and an environmental health data dashboard. Example: Creating an interactive data dashboard to…,"Job types: Temporary, Full-time, Contract
Remote: Hybrid work
Benefits: Relocation assistance, Health insurance, Dental insurance, Work from home, Vision insurance, Professional development assistance, Opportunities for advancement
Job types cc: Temporary, Full-time, Contract
Schedules: Monday to Friday",https://www.indeed.com/m/viewjob?jk=a853c508224b33ae,IndeedScraperUSAEng_a853c508224b33ae,IndeedScraperUSAEng,Data,USA_ENGLISH,$95000 - $95000 yearly,TEMPORARILY_REMOTE, NY 11101,NY,Long Island City,Uncategorized
NEW,"New College Grad, PhD Data Scientist (Econometrics)",Western Digital,"San Jose, CA 95119",2024-10-05,"Company Description At Western Digital, our vision is to power global innovation and push the boundaries of technology to make what you thought was once impossible, possible. At our core, Western…","Job types: Full-time
Benefits: Health savings account, AD&D insurance, Employee stock purchase plan, Disability insurance, Health insurance, Dental insurance, 401(k), RSU, Tuition reimbursement, Employee assistance program, Vision insurance, Paid sick time, Pet insurance
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=ca2a4750d29ce032,IndeedScraperUSAEng_ca2a4750d29ce032,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN, CA 95119,CA,San Jose,Uncategorized
NEW,Airgas Data Officer,Airgas,"Radnor, PA",2024-10-26,"Experience with data governance and technology practice related to managing enterprise data as an asset. The Airgas data board will be essential in bridging central and decentralized data activities,…","Job types: Full-time
Benefits: Paid parental leave, Paid holidays, Health insurance, Dental insurance, Tuition reimbursement, Paid time off, Parental leave, Vision insurance, 401(k) matching
Job types cc: Full-time
Schedules: Weekends as needed",https://www.indeed.com/m/viewjob?jk=052a7aec65fd4956,IndeedScraperUSAEng_052a7aec65fd4956,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN, PA,PA,Radnor,Uncategorized
NEW,Data Scientist,Moveworks.ai,"Mountain View, CA",2024-10-31,"Data Science Mountain View, CA Full Time Who We Are Moveworks is the universal AI copilot for search and automation across all your business applications. We give employees one place to go to find…","Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=b67194750feff761,IndeedScraperUSAEng_b67194750feff761,IndeedScraperUSAEng,Data,USA_ENGLISH,$135000 - $165000 yearly,UNKNOWN, CA,CA,Mountain View,Uncategorized
