status,title,company,location,date,blurb,tags,link,id,provider,query,locale,wage,remoteness
NEW,Senior Embedded Software Developer,Sun Life,"Waterloo, ON",2024-10-30,"You are as unique as your background, experience and point of view. Here, you’ll be encouraged, empowered and challenged to be your best self. You'll work with dynamic colleagues - experts in their…",,https://www.indeed.ca/m/viewjob?jk=7fa79134677efebf,IndeedScraperCANEng_7fa79134677efebf,IndeedScraperCANEng,Python,CANADA_ENGLISH,$78000 - $128000 yearly,UNKNOWN
NEW,Data Science Application Developer,Google,"Waterloo, ON",2024-10-09,"This opportunity is intended for students who are pursuing a PhD degree program in Computer Science or a related field. Our Student Researcher opportunities are flexible in time commitment, length of…","Job types: Full-time
Job types cc: Full-time",https://www.indeed.ca/m/viewjob?jk=7a3776bbc2fc3649,IndeedScraperCANEng_7a3776bbc2fc3649,IndeedScraperCANEng,Python,CANADA_ENGLISH,,UNKNOWN
NEW,"Senior Technology Specialist, Enterprise Platforms",Equitable CA,"Waterloo, ON",2024-09-30,"This role will maintain and enhance shared technology solutions and partner with a cross-functional team to develop, test, launch, and refine solutions to optimize the organizations' service…","Job types: Full-time
Remote: Hybrid work
Benefits: Company pension
Job types cc: Full-time
Schedules: On call",https://www.indeed.ca/m/viewjob?jk=32c5d74094d6c75d,IndeedScraperCANEng_32c5d74094d6c75d,IndeedScraperCANEng,Python,CANADA_ENGLISH,,TEMPORARILY_REMOTE
NEW,Lead Software Developer (Sustainability),Geotab,"Waterloo, ON",2024-10-26,"Geotab's open platform and Geotab Marketplace ®, offering hundreds of third-party solution options, allows both small and large businesses to automate operations by integrating vehicle data with their…","Job types: Full-time
Remote: Hybrid work
Benefits: Dental care
Job types cc: Full-time
Schedules: On call",https://www.indeed.ca/m/viewjob?jk=56bf253862104dc9,IndeedScraperCANEng_56bf253862104dc9,IndeedScraperCANEng,Python,CANADA_ENGLISH,,TEMPORARILY_REMOTE
NEW,"Intermediate Analyst, Actuarial- Personal Pricing",Definity Financial Corporation,"Waterloo, ON",2024-09-30,"We offer a flexible, hybrid work experience where employees work from the office and virtually depending on the type of work they are doing and who they are working with.","Job types: Full-time
Remote: Hybrid work
Benefits: Tuition reimbursement
 Paid time off
 Company pension
Job types cc: Full-time",https://www.indeed.ca/m/viewjob?jk=9bc151745938c879,IndeedScraperCANEng_9bc151745938c879,IndeedScraperCANEng,Python,CANADA_ENGLISH,$59400 - $118100 yearly,TEMPORARILY_REMOTE
NEW,Software Integration Engineer,Brock Solutions,"Kitchener, ON",2024-09-30,"Brock Solutions is an innovative engineering solutions and professional services company specializing in the design, build and implementation of real-time operational solutions for broad based…","Job types: Full-time
Shifts: Night shift
Benefits: Profit sharing
 Extended health care
 Company events
 Flexible schedule
Job types cc: Full-time
Schedules: Weekends as needed
 Night shift
 On call",https://www.indeed.ca/m/viewjob?jk=e57765d7427cb515,IndeedScraperCANEng_e57765d7427cb515,IndeedScraperCANEng,Python,CANADA_ENGLISH,,UNKNOWN
NEW,Data Engineer,Coastal Carbon,"Waterloo, ON",2024-10-01,"Coastal Carbon is a seed-funded startup on a mission to create positive impact through earth observation and AI. Founded at the University of Waterloo by a team of PhDs and engineers, we’re backed by…","Job types: Full-time
Remote: Hybrid work
Job types cc: Full-time",https://www.indeed.ca/m/viewjob?jk=37471dab17a6b0b8,IndeedScraperCANEng_37471dab17a6b0b8,IndeedScraperCANEng,Python,CANADA_ENGLISH,,TEMPORARILY_REMOTE
NEW,Lead Vehicle Systems Engineering,Geotab,"Waterloo, ON",2024-09-28,"Geotab’s open platform and Geotab Marketplace ®, offering hundreds of third-party solution options, allows both small and large businesses to automate operations by integrating vehicle data with their…","Job types: Full-time
Remote: Hybrid work
Benefits: Dental care
Job types cc: Full-time",https://www.indeed.ca/m/viewjob?jk=4404be9592848b4d,IndeedScraperCANEng_4404be9592848b4d,IndeedScraperCANEng,Python,CANADA_ENGLISH,,TEMPORARILY_REMOTE
NEW,"Étudiant-chercheur, doctorat, automne 2024",Google,"Waterloo, ON",2024-10-09,"Les candidatures seront examinées sur une base continue; les candidats ont donc intérêt à postuler rapidement. La période de dépôt des candidatures prévue est ouverte jusqu'au22 novembre 2024, mais…","Job types: Full-time
Job types cc: Full-time",https://www.indeed.ca/m/viewjob?jk=4ef3df7614b39942,IndeedScraperCANEng_4ef3df7614b39942,IndeedScraperCANEng,Python,CANADA_ENGLISH,,UNKNOWN
NEW,Full Stack Software Developer 0183-1015,Foilcon,"Guelph, ON",2024-10-08,"This is a green field opportunity to define the deployment process to Microsoft Azure, implementation of code changes using the latest . Net technologies, authentication of a new web application,…","Job types: Contract
Job types cc: Contract",https://www.indeed.ca/m/viewjob?jk=75e27cc16729ae80,IndeedScraperCANEng_75e27cc16729ae80,IndeedScraperCANEng,Python,CANADA_ENGLISH,,UNKNOWN
NEW,Senior AWS Cloud Infrastructure Developer,"NAVBLUE, Inc.","Waterloo, ON",2024-09-30,"As part of our team, you will be creating and supporting common AWS infrastructure modules and services, creating guard rails and automatic compliance checks, and improving our CI/CD pipeline.","Job types: Full-time
Remote: Hybrid work
Benefits: Casual dress
 RRSP match
 Paid time off
 Flexible schedule
 Life insurance
Job types cc: Full-time",https://www.indeed.ca/m/viewjob?jk=ac5a624aa3ae52ff,IndeedScraperCANEng_ac5a624aa3ae52ff,IndeedScraperCANEng,Python,CANADA_ENGLISH,,TEMPORARILY_REMOTE
NEW,Senior AWS Cloud Infrastructure Developer,NAVBLUE,"Waterloo, ON",2024-09-30,"As part of our team, you will be creating and supporting common AWS infrastructure modules and services, creating guard rails and automatic compliance checks, and improving our CI/CD pipeline.","Job types: Full-time
Job types cc: Permanent
 Full-time",https://www.indeed.ca/m/viewjob?jk=caafd30a1f86cfdd,IndeedScraperCANEng_caafd30a1f86cfdd,IndeedScraperCANEng,Python,CANADA_ENGLISH,,UNKNOWN
NEW,Lead Engineer,Asima Health Inc.,"Kitchener, ON",2024-10-02,This role will focus on developing and integrating components for impedance spectroscopy systems and sensors used in cancer diagnostics. You will play a key role in developing the MVP by working…,"Job types: Full-time
Benefits: Casual dress
 Extended health care
 Stock options
 Dental care
 Paid time off
 Vision care
Job types cc: Full-time
Schedules: Monday to Friday",https://www.indeed.ca/m/viewjob?jk=ad27c679f1773082,IndeedScraperCANEng_ad27c679f1773082,IndeedScraperCANEng,Python,CANADA_ENGLISH,$75000 - $85000 yearly,UNKNOWN
NEW,"Data Scientist, Finance Transformation",Definity Financial Corporation,"Waterloo, ON",2024-10-04,"We offer a flexible, hybrid work experience where employees work from the office and virtually depending on the type of work they are doing and who they are working with.","Job types: Full-time
Remote: Hybrid work
Benefits: Tuition reimbursement
 Paid time off
 Company pension
Job types cc: Full-time",https://www.indeed.ca/m/viewjob?jk=a1d412d1726944c2,IndeedScraperCANEng_a1d412d1726944c2,IndeedScraperCANEng,Python,CANADA_ENGLISH,$74100 - $136500 yearly,TEMPORARILY_REMOTE
NEW,Intermediate Actuarial Analyst,Gore Mutual Insurance,"Cambridge, ON",2024-10-25,"Responsible for understanding what the data means and possesses the ability to process the data using SQL and python as required with minimal assistance. Experience in Python, SQL, PowerBI is ideal.",,https://www.indeed.ca/m/viewjob?jk=d8519348a994b7f2,IndeedScraperCANEng_d8519348a994b7f2,IndeedScraperCANEng,Python,CANADA_ENGLISH,,UNKNOWN
NEW,Asset Management Consultant and Data Analyst,GEI Consultants,"Guelph, ON",2024-09-30,"Support the development asset management plans, strategies, decision frameworks, business processes and tools capable of assisting with the development of capital and operating budgets, to provide…","Remote: Hybrid work
Benefits: Extended health care
 Designated paid holidays
 Tuition reimbursement
 Paid time off
 RRSP",https://www.indeed.ca/m/viewjob?jk=ad005382e87787fe,IndeedScraperCANEng_ad005382e87787fe,IndeedScraperCANEng,Python,CANADA_ENGLISH,,TEMPORARILY_REMOTE
NEW,MLOps Engineer - Supercomputing,Coastal Carbon,"Waterloo, ON",2024-09-30,"Implement scalable pipelines, optimize models for performance and accuracy, and ensure they are production-ready. Write low-level code to maximize the capacity of high-end GPUs.","Job types: Full-time
Job types cc: Full-time",https://www.indeed.ca/m/viewjob?jk=e4b4653a043ef7ba,IndeedScraperCANEng_e4b4653a043ef7ba,IndeedScraperCANEng,Python,CANADA_ENGLISH,,UNKNOWN
NEW,Lead Cloud Applications Consultant,Open Text Corporation,"Waterloo, ON",2024-09-28,"We are seeking a skilled and results-driven Electronic Discovery (eDiscovery) Cloud Application Consultant/Developer with a focus on building customized solutions that drive efficiencies, margin, and…","Job types: Full-time
Job types cc: Full-time",https://www.indeed.ca/m/viewjob?jk=01042ea95cd5195a,IndeedScraperCANEng_01042ea95cd5195a,IndeedScraperCANEng,Python,CANADA_ENGLISH,,UNKNOWN
NEW,Full Stack Tech Lead,iGUIDE,"Waterloo, ON",2024-10-28,"By integrating floor plans and visual data, iGUIDE provides an intuitive and practical way to navigate and explore built environments digitally. The ideal candidate will have a strong background in…","Job types: Full-time
Remote: Hybrid work
Job types cc: Full-time",https://www.indeed.ca/m/viewjob?jk=a57d50c4b8b65abd,IndeedScraperCANEng_a57d50c4b8b65abd,IndeedScraperCANEng,Python,CANADA_ENGLISH,,TEMPORARILY_REMOTE
NEW,"Azure developer / Data engineer( ADF, T-SQL, Python Scripting)",Atlantis IT group,"West Montrose, ON",2024-10-08,Must have a good grip on Core Java concepts and implementation 2. Should be able to contribute individually and develop in JAVA end to end 3. Should be full stack developer 4.,,https://www.indeed.ca/m/viewjob?jk=63beb9aac56c6059,IndeedScraperCANEng_63beb9aac56c6059,IndeedScraperCANEng,Python,CANADA_ENGLISH,,UNKNOWN
NEW,Senior AWS Cloud Infrastructure Developer,Airbus Canada,"Waterloo, ON",2024-09-28,Job Summary: We are looking for an experienced Sr. Cloud Infrastructure Developer to join our Architecture and System team and work with our existing teams to accelerate our new cloud services…,"Remote: Hybrid work
Benefits: Casual dress
 RRSP match
 Paid time off
 Flexible schedule
 Life insurance
Job types cc: Permanent",https://www.indeed.ca/m/viewjob?jk=ff8a0243862ed0b7,IndeedScraperCANEng_ff8a0243862ed0b7,IndeedScraperCANEng,Python,CANADA_ENGLISH,,TEMPORARILY_REMOTE
NEW,Remote AI Training Expert,Outlier,"Kitchener, ON",2024-10-17,"We partner with organizations to train AI large language models, helping cutting-edge generative AI models write better code. Projects typically include discrete, highly variable problems that involve…","Job types: Contract
Remote: Remote
Job types cc: Contract
 Freelance
Schedules: Overtime",https://www.indeed.ca/m/viewjob?jk=8a659fc00e7cdc51,IndeedScraperCANEng_8a659fc00e7cdc51,IndeedScraperCANEng,Python,CANADA_ENGLISH,$30 - $30 hourly,FULLY_REMOTE
NEW,"Senior Technology Specialist, Core Systems Developer",Equitable CA,"Waterloo, ON",2024-09-30,"We encourage new ideas but also look for someone who is willing to roll up their sleeves to help in every aspect of the SDLC including designing, unit testing, implementing, and maintaining complex…","Job types: Full-time
Remote: Hybrid work
Benefits: Company pension
Job types cc: Full-time
Schedules: On call",https://www.indeed.ca/m/viewjob?jk=a4c42cbc55fc4027,IndeedScraperCANEng_a4c42cbc55fc4027,IndeedScraperCANEng,Python,CANADA_ENGLISH,,TEMPORARILY_REMOTE
NEW,Omniverse Testing Coordinator Co-op,Eclipse Automation,"Cambridge, ON",2024-10-16,"OMNIVERSE TESTING COORDINATOR CO-OP. It’s an Exciting Time at Eclipse! Eclipse Automation is now part of Accenture Industry X, and together we will design and build the future in unprecedented ways!","Job types: Temporary
Benefits: On-site gym
Job types cc: Temporary
Schedules: Weekends as needed",https://www.indeed.ca/m/viewjob?jk=df8ee884f6b26be7,IndeedScraperCANEng_df8ee884f6b26be7,IndeedScraperCANEng,Python,CANADA_ENGLISH,,UNKNOWN
NEW,Perception Software Engineer,Swap Robotics,"Kitchener, ON",2024-10-22,"Design and develop high quality, maintainable and testable code. Work closely with system architects to ensure conformity to target architecture. Interact and work closely with other teams for systems…","Job types: Full-time
Benefits: Flexible schedule
Job types cc: Full-time",https://www.indeed.ca/m/viewjob?jk=4ac405343528301c,IndeedScraperCANEng_4ac405343528301c,IndeedScraperCANEng,Python,CANADA_ENGLISH,$70000 - $-1 yearly,UNKNOWN
NEW,Full Stack Developer,Recurrent Energy,"Guelph, ON",2024-10-22,"In addition, Recurrent Energy’s services business has 6 GW of projects under operations and maintenance contracts, either operational or contracted projects. At least 2 years of relevant experience.","Job types: Full-time
Job types cc: Full-time",https://www.indeed.ca/m/viewjob?jk=1ff87ce8f4514519,IndeedScraperCANEng_1ff87ce8f4514519,IndeedScraperCANEng,Python,CANADA_ENGLISH,,UNKNOWN
NEW,Full Stack Software Developer,Home Hardware Stores Limited,"St. Jacobs, ON",2024-09-30,We’re more than Canada’s largest independent hardware and building supplies retailer—we’re part of communities across the nation. We Need Your Full Stack Talent! Ready to make an impact in a new role?,"Job types: Full-time
Remote: Hybrid work
Benefits: Disability insurance
 Dental care
 Vision care
 Life insurance
Job types cc: Permanent
 Full-time",https://www.indeed.ca/m/viewjob?jk=4e93235fcf79d0eb,IndeedScraperCANEng_4e93235fcf79d0eb,IndeedScraperCANEng,Python,CANADA_ENGLISH,,TEMPORARILY_REMOTE
NEW,"Étudiant-chercheur, doctorat, hiver/été 2025",Google,"Waterloo, ON",2024-10-09,"Les candidatures seront examinées sur une base continue; les candidats ont donc intérêt à postuler rapidement. La période de dépôt des candidatures prévue est ouverte jusqu'au11 juillet 2025, mais…","Job types: Full-time
Job types cc: Full-time",https://www.indeed.ca/m/viewjob?jk=85d9499567ab9f9c,IndeedScraperCANEng_85d9499567ab9f9c,IndeedScraperCANEng,Python,CANADA_ENGLISH,,UNKNOWN
NEW,Senior Java Design Engineer,Sun Life,"Waterloo, ON",2024-10-11,"Reporting to the Director, API Platform Engineering, the Solution Design Engineer is responsible for design, development, deployment and implementation of the Enterprise Event Hub Components.",,https://www.indeed.ca/m/viewjob?jk=8c511ada5c6bc083,IndeedScraperCANEng_8c511ada5c6bc083,IndeedScraperCANEng,Python,CANADA_ENGLISH,$84000 - $138000 yearly,UNKNOWN
NEW,"Développeur logiciel stagiaire, doctorat, été 2025",Google,"Waterloo, ON",2024-10-09,"Les candidatures seront examinées sur une base continue; les candidats ont donc intérêt à postuler rapidement. La période de dépôt des candidatures prévue est ouverte jusqu'au28 février 2025, mais…","Job types: Full-time
 Internship / Co-op
Job types cc: Full-time
 Internship / Co-op",https://www.indeed.ca/m/viewjob?jk=de9a88afa9d120c3,IndeedScraperCANEng_de9a88afa9d120c3,IndeedScraperCANEng,Python,CANADA_ENGLISH,,UNKNOWN
NEW,ETL Test Lead,Atlantis IT group,"Waterloo, ON",2024-10-19,"GCP and GCP functionalities like running DAGs, troubleshooting when there is a failure, console, and all other features present in GCP tool. Complex query writing, procedures, routines in Big Query.",,https://www.indeed.ca/m/viewjob?jk=28eaa3968a04b8d9,IndeedScraperCANEng_28eaa3968a04b8d9,IndeedScraperCANEng,Python,CANADA_ENGLISH,,UNKNOWN
NEW,Senior .Net Developer,"Cloud DX, Inc.","Kitchener, ON",2024-09-30,"Given the recent events with social distancing and stay-at-home measures, our technology allows healthcare workers to provide patient-centric care across North America. NET Core, Node, Python or Go.",Job types cc: Permanent,https://www.indeed.ca/m/viewjob?jk=e2f2823379067cab,IndeedScraperCANEng_e2f2823379067cab,IndeedScraperCANEng,Python,CANADA_ENGLISH,,UNKNOWN
NEW,AI Engineer,Coastal Carbon,"Waterloo, ON",2024-09-28,Collaborate with researchers and scientists to implement and scale proof-of-concept (POC) models. Rapidly implement the latest state-of-the-art methods from literature.,"Job types: Full-time
Job types cc: Full-time",https://www.indeed.ca/m/viewjob?jk=c492b4e06db35194,IndeedScraperCANEng_c492b4e06db35194,IndeedScraperCANEng,Python,CANADA_ENGLISH,,UNKNOWN
NEW,"Senior Technology Specialist, Data Developer",Equitable CA,"Waterloo, ON",2024-10-02,"Reports To: Lead Technology Manager, Data Platforms. Assist with the design, implementation, and management of cloud data warehouse systems infrastructure including: Certifications in AZ-900, DP-900.","Job types: Full-time
Remote: Hybrid work
Benefits: Company pension
Job types cc: Full-time",https://www.indeed.ca/m/viewjob?jk=6ced2dd3388f29ff,IndeedScraperCANEng_6ced2dd3388f29ff,IndeedScraperCANEng,Python,CANADA_ENGLISH,,TEMPORARILY_REMOTE
NEW,"Software Developer Intern, BS, Summer 2025",Google,"Waterloo, ON",2024-10-09,"This internship is intended for students in their penultimate academic year, who are pursuing a Bachelor's degree program in Computer Science or a related field.","Job types: Full-time
 Internship / Co-op
Job types cc: Full-time
 Internship / Co-op",https://www.indeed.ca/m/viewjob?jk=95d568e49ff0a21c,IndeedScraperCANEng_95d568e49ff0a21c,IndeedScraperCANEng,Python,CANADA_ENGLISH,,UNKNOWN
