status,title,company,location,date,blurb,tags,link,id,provider,query,locale,wage,remoteness,state_zip,state,city
NEW,Developer - BI/Data Warehouse,Duke Health,"Durham, NC 27710",2024-10-24,The Developer builds and maintains custom data sets by translating data requirements into workable programming code. The Developer functions as a data and reporting expert for the Duke Health System…,"Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=a456b54899084cba,IndeedScraperUSAEng_a456b54899084cba,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN, NC 27710,NC,Durham
NEW,"Technical Product Owner, Data Engineering & Infrastructure",Bandwidth,"Raleigh, NC",2024-10-25,Enterprise data architecture or solution architecture. Analyze data to derive insights and inform product decisions. Understand and articulate technical concepts in data engineering and infrastructure…,"Benefits: Health insurance, Dental insurance, Paid time off, Vision insurance",https://www.indeed.com/m/viewjob?jk=1f2dc3f8eadf2e39,IndeedScraperUSAEng_1f2dc3f8eadf2e39,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN, NC,NC,Raleigh
NEW,Data Integration Specialist,Dewberry,"Raleigh, NC 27607",2024-10-15,"Produce reports, managing data, and data visualization. We are looking for a team member who can create innovative ways to capture, manage, and communicate data to a wide range of users, from…","Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=95b55a50c82ed206,IndeedScraperUSAEng_95b55a50c82ed206,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN, NC 27607,NC,Raleigh
NEW,Data Architect (Greensboro - Raleigh area),Hakkoda,"Greensboro, NC",2024-10-26,"This person will have direct experience optimizing new and current databases, data pipelines and implementing advanced capabilities while ensuring data integrity and security.","Job types: Full-time
Remote: Hybrid work
Benefits: Paid parental leave, Health insurance, Dental insurance, Paid time off, Work from home, Parental leave, Vision insurance, Life insurance
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=9a2d6ef39d062498,IndeedScraperUSAEng_9a2d6ef39d062498,IndeedScraperUSAEng,Data,USA_ENGLISH,,TEMPORARILY_REMOTE, NC,NC,Greensboro
NEW,"Instructor, Artificial Intelligence (AI) - Machine Learning (Part-Time Temp)",Wake Technical Community College,"Raleigh, NC 27603",2024-10-19,"Supports the Department, Division, and College goals, providing requested data in a timely manner. Wake Technical Community College is seeking to expand the pool of part-time faculty to teach one or…","Job types: Part-time
Job types cc: Part-time",https://www.indeed.com/m/viewjob?jk=78703c0b1dfa87e4,IndeedScraperUSAEng_78703c0b1dfa87e4,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN, NC 27603,NC,Raleigh
NEW,Data Manager,Onslow County Schools,"Jacksonville, NC 28546",2024-10-17,Knowledge of source data and operations of school from which source data originates. Entering data with accuracy at high speed given consideration for time required for judgment and the difficulty of…,"Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=00e68e745a943080,IndeedScraperUSAEng_00e68e745a943080,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN, NC 28546,NC,Jacksonville
NEW,Data Manager,Wake County Public School System,"Cary, NC 27519",2024-10-24,Performs data entry processes including analyzing data for students being served or potentially eligible for entry into WCPSS. Compiles and responds to large data requests from staff.,"Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=4da1725cd5a81d9b,IndeedScraperUSAEng_4da1725cd5a81d9b,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN, NC 27519,NC,Cary
NEW,MDS (Minimum Data Set) Coordinator,Willow Valley Center for Nursing and Rehabilitation,"Winston-Salem, NC 27104",2024-10-20,"Up to $7,500 sign-on bonus and Avg. We are pleased to offer a voluntary benefit for employees to access their pay on their own schedule. Willow Valley Center for Nursing and Rehabilitation is seeking…","Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=a4c0f75afea9e707,IndeedScraperUSAEng_a4c0f75afea9e707,IndeedScraperUSAEng,Data,USA_ENGLISH,$40 - $40 hourly,UNKNOWN, NC 27104,NC,Winston-Salem
NEW,Digital Marketing Coordinator Data Quality - Marketing Technology,UNC Health,"Raleigh, NC 27607",2024-10-03,"Ensure data meets quality standards. Actively contribute to improving MarTech’s data framework and related business processes. Prior experience using structured data in CMS/DAM, enterprise search,…","Job types: Full-time
Remote: Hybrid work
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=f701251460a7058c,IndeedScraperUSAEng_f701251460a7058c,IndeedScraperUSAEng,Data,USA_ENGLISH,$27.89 - $40.09 hourly,TEMPORARILY_REMOTE, NC 27607,NC,Raleigh
NEW,"Manager, Clinical Data Management",Statistics & Data Corporation (SDC),"Raleigh, NC",2024-10-03,"Works closely with Director of Data Management, Clinical Data Managers and Clinical Data Analyst to mentor data management staff. Oversees day-to-day data management operations, ensuring on-time and…","Job types: Full-time
Remote: Hybrid work
Benefits: 401(k) matching, Flexible schedule
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=ee63d5d2eb3273cb,IndeedScraperUSAEng_ee63d5d2eb3273cb,IndeedScraperUSAEng,Data,USA_ENGLISH,,TEMPORARILY_REMOTE, NC,NC,Raleigh
NEW,JSOC J8 DATA ANALYST,"RDR, INC.","Fort Liberty, NC 28310",2024-10-03,Monitoring data quality and removing corrupt data. Performing statistical analysis of data. Experience with distributed data systems. Organizing and transforming data into comprehensible structures.,"Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=77855ed9470542f6,IndeedScraperUSAEng_77855ed9470542f6,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN, NC 28310,NC,Fort Liberty
NEW,"Developer Relations, Platform AI",Google,"Raleigh, NC",2024-10-14,Act as an advocate and promoter for generative AI technologies within the developer and data science communities. Passion for developer communities and a genuine interest in enabling and supporting…,"Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=4b022a3493b09f31,IndeedScraperUSAEng_4b022a3493b09f31,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN, NC,NC,Raleigh
NEW,Data Management SME,Core One,"Jacksonville, NC",2024-10-03,Core One is seeking a Data Management SME to support the program. This position requires an active TS/SCI clearance. This position is contingent upon contract award.,,https://www.indeed.com/m/viewjob?jk=d5ad290957bc040d,IndeedScraperUSAEng_d5ad290957bc040d,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN, NC,NC,Jacksonville
NEW,GCP Data Migration,Accenture,"Raleigh, NC 27609",2024-10-03,"Leverage ETL or ELT to build scalable data pipelines. Extracting, loading, transforming, cleaning, and validating data. Experience migrating data from legacy systems using tools like Hadoop, Exadata,…","Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=db7883914cb04ccc,IndeedScraperUSAEng_db7883914cb04ccc,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN, NC 27609,NC,Raleigh
NEW,Senior Data Trainer,Wake County Public School System,"Cary, NC 27518",2024-10-03,"Knowledge of the nature of data and data use in K-12 education; Experience with analyzing and interpreting data; Provides technical support to school and central services personnel around data use,…","Job types: Full-time
Remote: Remote
Job types cc: Full-time
Schedules: Weekends as needed, Evenings as needed, Monday to Friday",https://www.indeed.com/m/viewjob?jk=91c7f0ac2d27db6f,IndeedScraperUSAEng_91c7f0ac2d27db6f,IndeedScraperUSAEng,Data,USA_ENGLISH,,FULLY_REMOTE, NC 27518,NC,Cary
NEW,"Executive Director, US Corporate and Healthcare Sales Leader - Data Center/Infrastructure",Lenovo,"Morrisville, NC",2024-10-30,10+ years of IT industry experience in sales leadership or equivalent role focused on data center/infrastructure in the healthcare and corporate space. Bachelor's degree or equivalent work experience.,"Job types: Full-time
Remote: Remote
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=bf46e4bad0ad6b90,IndeedScraperUSAEng_bf46e4bad0ad6b90,IndeedScraperUSAEng,Data,USA_ENGLISH,,FULLY_REMOTE, NC,NC,Morrisville
NEW,Tactical Data Link (TDL) Instructor,Linchpin Solutions Inc,"Fort Liberty, NC",2024-10-03,"We are currently hiring for a dynamic and experienced Tactical Data Link Instructor. Clearance: Active DoD Secret Clearance. The TDL Instructor supports the JID-TC responsibilities at Fort Liberty, NC…","Job types: Full-time
Benefits: Paid holidays, Disability insurance, Health insurance, Dental insurance, Flexible spending account, Tuition reimbursement, Paid time off, Parental leave, Employee assistance program, Vision insurance, 401(k) matching, Life insurance
Job types cc: Full-time
Schedules: Monday to Friday",https://www.indeed.com/m/viewjob?jk=f0d9f168baa95879,IndeedScraperUSAEng_f0d9f168baa95879,IndeedScraperUSAEng,Data,USA_ENGLISH,$45000 - $85000 yearly,UNKNOWN, NC,NC,Fort Liberty
NEW,Application Development and Data Analysis Specialist,ORAU,"Research Triangle Park, NC 27711",2024-10-22,"Development of data analysis visualizations. Development and debugging of modules for NTA data analysis. As a team member, you will provide application development and data analysis support for the…","Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=1baedf9f387850d9,IndeedScraperUSAEng_1baedf9f387850d9,IndeedScraperUSAEng,Data,USA_ENGLISH,$32.01 - $32.01 hourly,UNKNOWN, NC 27711,NC,Research Triangle Park
NEW,DATA MANAGER - PART TIME,Craven County Schools,"New Bern, NC 28562",2024-10-16,High level of accuracy in data entry and management. Collects data for and prints marking period report cards. Able to make decisions and solve problems with school data and information provided.,"Job types: Part-time
Job types cc: Part-time",https://www.indeed.com/m/viewjob?jk=e8f2148e8f2d9398,IndeedScraperUSAEng_e8f2148e8f2d9398,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN, NC 28562,NC,New Bern
NEW,Data Engineer,Parexel,"Durham, NC",2024-11-01,"Using Microsoft Azure data PaaS services, design, build, modify, and support data pipelines leveraging DataBricks and PowerBI in a medallion architecture setting.",,https://www.indeed.com/m/viewjob?jk=b688cee812dcd7cb,IndeedScraperUSAEng_b688cee812dcd7cb,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN, NC,NC,Durham
NEW,Data scientist(TS/SCI ),Business Integra Inc,"Fort Liberty, NC 28307",2024-10-22,Thoroughly clean data to discard irrelevant information and prepare the data for preprocessing and modeling. Perform exploratory data analysis (EDA) to determine how to handle missing data and to look…,"Job types: Contract
Shifts: 10 hour shift
Job types cc: Contract
Schedules: 10 hour shift",https://www.indeed.com/m/viewjob?jk=31d642e60731c8f2,IndeedScraperUSAEng_31d642e60731c8f2,IndeedScraperUSAEng,Data,USA_ENGLISH,$50 - $60 hourly,UNKNOWN, NC 28307,NC,Fort Liberty
NEW,Student Information Data Manager / Treasurer,Nash County Public Schools,"Battleboro, NC 27809",2024-10-21,"Considerable knowledge of data management, policies and procedures. Ability to apply independent judgment in correcting data errors or omissions. Also, other student or staff data as mandated by the…","Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=d7efa2635823dcb7,IndeedScraperUSAEng_d7efa2635823dcb7,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN, NC 27809,NC,Battleboro
NEW,Healthcare Business Analyst Intermediate,Novant Health,"Winston-Salem, NC 27101",2024-10-12,Ability to translate clinical data and information to a technical team. Requires a moderately advanced understanding of clinical/nonclinical relational databases and large clinical/nonclinical data…,,https://www.indeed.com/m/viewjob?jk=d7fb55ab37c3829d,IndeedScraperUSAEng_d7fb55ab37c3829d,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN, NC 27101,NC,Winston-Salem
NEW,Lead Data Center,"LCG, Inc.","Durham, NC 27709",2024-10-06,"Implement data governance policies, ensuring security and integrity of data (including PII and PHI). Network storage, especially NETAPP data storage appliances.","Benefits: Paid holidays, Disability insurance, Health insurance, Dental insurance, Vision insurance, Retirement plan",https://www.indeed.com/m/viewjob?jk=cbb4dc743d5d64b3,IndeedScraperUSAEng_cbb4dc743d5d64b3,IndeedScraperUSAEng,Data,USA_ENGLISH,$72700 - $99500 yearly,UNKNOWN, NC 27709,NC,Durham
NEW,MDS (Minimum Data Set) Coordinator,Linden Place Center for Nursing and Rehabilitation,"Greensboro, NC 27401",2024-10-18,We are pleased to offer a voluntary benefit for employees to access their pay on their own schedule. Linden Place Center for Nursing and Rehabilitation is seeking an experienced MDS (Minimum Data Set)…,"Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=fb32dc39faede214,IndeedScraperUSAEng_fb32dc39faede214,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN, NC 27401,NC,Greensboro
NEW,"Strategy and Business Development Manager, Data Centers",Eaton,"Raleigh, NC 27615",2024-10-03,Ability to navigate highly ambiguous strategic questions and drive actionable insights by using a structured and data driven approach. The Strategy & Business Development Manager will support and lead…,"Remote: Hybrid work
Benefits: Retirement plan",https://www.indeed.com/m/viewjob?jk=cf20432b4ac06e65,IndeedScraperUSAEng_cf20432b4ac06e65,IndeedScraperUSAEng,Data,USA_ENGLISH,$136500.03 - $200200.05 yearly,TEMPORARILY_REMOTE, NC 27615,NC,Raleigh
NEW,Data Principal Scientist,City National Bank,"Raleigh, NC 27609",2024-10-11,"Leads and applies data science techniques, such as data profiling, data modeling, and root cause analysis working closely with senior team members. The Principal Data Scientist will lead and mentor in…",Remote: Hybrid work,https://www.indeed.com/m/viewjob?jk=f556aa7ecdaec93f,IndeedScraperUSAEng_f556aa7ecdaec93f,IndeedScraperUSAEng,Data,USA_ENGLISH,$122535 - $208715 yearly,TEMPORARILY_REMOTE, NC 27609,NC,Raleigh
NEW,Home Data Collector,HomeCloud,"Raleigh-Durham, NC",2024-10-31,Across Raleigh-Durham and the surrounding areas to capture a series of photos/videos and collect a variety of data. This is a 1099-independent contractor role with an hourly or pay-per-job…,"Job types: Part-time, Full-time, Contract
Shifts: 4 hour shift
Benefits: Professional development assistance, Opportunities for advancement, Tools provided
Job types cc: Part-time, Full-time, Contract
Schedules: Weekends as needed, 4 hour shift, Monday to Friday",https://www.indeed.com/m/viewjob?jk=8d07f36cebea9cce,IndeedScraperUSAEng_8d07f36cebea9cce,IndeedScraperUSAEng,Data,USA_ENGLISH,$20 - $35 hourly,UNKNOWN, NC,NC,Raleigh-Durham
NEW,"Mission Data Scientist, Senior",Booz Allen,"Fort Liberty, NC",2024-10-17,"3+ years of experience with data analytics, software engineering, data engineering, data science, or machine learning engineering. Experience with Extract, Transform, and Load (ETL) tools, data…","Job types: Full-time
Benefits: Health insurance, Flexible spending account, Tuition reimbursement, Retirement plan
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=ed3241381b12dadc,IndeedScraperUSAEng_ed3241381b12dadc,IndeedScraperUSAEng,Data,USA_ENGLISH,$96700 - $220000 yearly,UNKNOWN, NC,NC,Fort Liberty
NEW,UTS-Temporary Statistician Investigator at UNC Chapel Hill,North Carolina State University,"Raleigh, NC",2024-11-01,"In addition to analyses of these data, the statistician will also analyze data from longitudinal data collected as part of many other past and current R01 studies going on in the institute, as well as…","Job types: Temporary
Job types cc: Temporary",https://www.indeed.com/m/viewjob?jk=30c463694780169f,IndeedScraperUSAEng_30c463694780169f,IndeedScraperUSAEng,Data,USA_ENGLISH,$45 - $55 hourly,UNKNOWN, NC,NC,Raleigh
NEW,"Director, PV Business Data Strategy and Owner",GSK,"Durham, NC 27707",2024-10-05,Ensure data meets required standards as per defined data governance policies. Collaborate with source domain data owners for data re-use requests. Certificate in data science or similar.,,https://www.indeed.com/m/viewjob?jk=efb6f733f42bb4e3,IndeedScraperUSAEng_efb6f733f42bb4e3,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN, NC 27707,NC,Durham
