status,title,company,location,date,blurb,tags,link,id,provider,query,locale,wage,remoteness,state_zip,state,city
NEW,"Lead Data Scientist, Data Science",National Grid,"Hicksville, NY 11801",2024-10-19,Knowledge of how to integrate short-term forecasting processes into day-to-day operational data engineering and production pipelines is a plus. Bachelor’s degree (Master’s or PhD preferred) in data…,"Job types: Full-time
Benefits: Opportunities for advancement
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=532e385b2ac1d905,IndeedScraperUSAEng_532e385b2ac1d905,IndeedScraperUSAEng,Data,USA_ENGLISH,$143000 - $168000 yearly,UNKNOWN, NY 11801,NY,Hicksville
NEW,Oracle Database Developer,Capgemini,"New York, NY 10003",2024-10-30,In-depth understanding of data management (e.g. data discovery data analysis transformation data quality security and monitoring). Business requirements: Analyze the company's data need and assist in…,"Job types: Full-time
Benefits: Paid parental leave, Paid holidays, Health insurance, Dental insurance, 401(k), Paid time off, Adoption assistance, Parental leave, Vision insurance
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=650ee76deedfb4ad,IndeedScraperUSAEng_650ee76deedfb4ad,IndeedScraperUSAEng,Data,USA_ENGLISH,$56186 - $87556 yearly,UNKNOWN, NY 10003,NY,New York
NEW,"Grp Dir, Data Sci/Adv Alt -SVP",IPG Health,"New York, NY",2024-10-03,"Actively manage 8 to 14 junior data scientists, data scientists, lead data scientists, principal data scientists, directors of data science, VPs of data science and engineering and perhaps an SVP …",,https://www.indeed.com/m/viewjob?jk=a6ff210c5a2d8bce,IndeedScraperUSAEng_a6ff210c5a2d8bce,IndeedScraperUSAEng,Data,USA_ENGLISH,$260000 - $290000 yearly,UNKNOWN, NY,NY,New York
NEW,Report Processor,The IMA Group,"Hartsdale, NY 10530",2024-10-18,Proficiency in office software and databases for efficient data processing. Verifying data and information within reports to ensure consistency and quality.,"Job types: Full-time
Benefits: Paid parental leave, AD&D insurance, Paid holidays, Dental insurance, Flexible spending account, Tuition reimbursement, Paid time off, Parental leave, Vision insurance, 401(k) matching, Loan assistance, Life insurance
Job types cc: Full-time
Schedules: No on call",https://www.indeed.com/m/viewjob?jk=3f88f31ccd19ee84,IndeedScraperUSAEng_3f88f31ccd19ee84,IndeedScraperUSAEng,Data,USA_ENGLISH,$18 - $18 hourly,UNKNOWN, NY 10530,NY,Hartsdale
NEW,Senior Consultant - Data & Analytics (Banking & Capital Markets) (NY),CrossCountry Consulting,"New York, NY",2024-10-03,2+ years of relevant experience in handling large data sets and interpreting data to derive impactful insights and recommendations. Design process and data flows using standard flowcharting…,"Job types: Full-time
Remote: Hybrid work
Benefits: Health insurance, Dental insurance, Flexible spending account, Parental leave, Vision insurance, 401(k) matching
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=22ccb09bcdcb803c,IndeedScraperUSAEng_22ccb09bcdcb803c,IndeedScraperUSAEng,Data,USA_ENGLISH,$75500 - $160000 yearly,TEMPORARILY_REMOTE, NY,NY,New York
NEW,Data Scientist III (ML Engineering),Cedar Inc,"New York, NY",2024-10-03,"Build and optimize pipelines for data extraction, processing, and transformation; perform in-depth data analysis, data cleaning, and feature engineering on (mostly) structured, tabular data.","Benefits: Paid parental leave, Health insurance, Unlimited paid time off, 401(k), Paid time off, Work from home, Parental leave, 401(k) matching",https://www.indeed.com/m/viewjob?jk=f694b7062271a931,IndeedScraperUSAEng_f694b7062271a931,IndeedScraperUSAEng,Data,USA_ENGLISH,$148750 - $175000 yearly,UNKNOWN, NY,NY,New York
NEW,"Principal, Data Strategy",Publicis Sapient,"New York, NY 10014",2024-10-03,"Provide data though leadership and communicate data strategy needs as inputs into the media partnership strategy. Function as the data technology and strategy subject matter expert, acting as a client…","Job types: Full-time
Remote: Hybrid work
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=26751b5a89ff2f26,IndeedScraperUSAEng_26751b5a89ff2f26,IndeedScraperUSAEng,Data,USA_ENGLISH,$175000 - $225000 yearly,TEMPORARILY_REMOTE, NY 10014,NY,New York
NEW,Database Manager (Part-Time),Children's Health Fund,"New York, NY 10027",2024-10-03,"Edge NXT) while providing comprehensive data management, reporting, and data integration support to our. REPORTING RELATIONSHIPS: Reports to the Senior Director, Individual Giving &.","Job types: Part-time
Remote: Hybrid work
Job types cc: Part-time",https://www.indeed.com/m/viewjob?jk=9e5b08089c6c8f17,IndeedScraperUSAEng_9e5b08089c6c8f17,IndeedScraperUSAEng,Data,USA_ENGLISH,$30000 - $32000 yearly,TEMPORARILY_REMOTE, NY 10027,NY,New York
NEW,Director of Enterprise Data Engineering - Digital and Technology Partners - Remote,Mount Sinai,"New York, NY 10017",2024-10-03,"Establish and uphold data governance frameworks and policies, ensuring data integrity, compliance with healthcare regulations, and security across all data systems and platforms.",Remote: Remote,https://www.indeed.com/m/viewjob?jk=90e8beba5943974e,IndeedScraperUSAEng_90e8beba5943974e,IndeedScraperUSAEng,Data,USA_ENGLISH,$143858 - $239662 yearly,FULLY_REMOTE, NY 10017,NY,New York
NEW,Senior Database Clerk/Typist,County of Ulster,"Kingston, NY 12401",2024-10-03,"Supervises or performs various clerical tasks with a computerized data base; Adds, deletes and updates various records in a database; Looks up records in a database and writes down information from…","Job types: Full-time
Shifts: 8 hour shift
Benefits: Health insurance, Dental insurance, Paid time off, Vision insurance, Retirement plan
Job types cc: Full-time
Schedules: 8 hour shift",https://www.indeed.com/m/viewjob?jk=337f155f1182c3aa,IndeedScraperUSAEng_337f155f1182c3aa,IndeedScraperUSAEng,Data,USA_ENGLISH,$19.47 - $19.47 hourly,UNKNOWN, NY 12401,NY,Kingston
