status,title,company,location,date,blurb,tags,link,id,provider,query,locale,wage,remoteness,state_zip,state,city,job_level
NEW,data scientist,DEPARTMENT OF BUILDINGS,"Manhattan, NY 10007",11/14/2024,Performs data cleaning & validation in order to ensure the bureau of Enforcement's compliance with agency policies and procedures for data collection and record maintenance.,"Job types: Full-time
Benefits: Work from home, Loan forgiveness
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=9672782736a820ae,IndeedScraperUSAEng_9672782736a820ae,IndeedScraperUSAEng,Data,USA_ENGLISH,$79473 - $91394 yearly,UNKNOWN, NY 10007,NY,Manhattan,Entry-Level
NEW,"data scientist, product analytics",Meta,"San Francisco, CA 94105",10/29/2024,"Communication and influence: You won't simply present data, but tell data-driven stories. Analytics: You will guide teams using data and insights. Apply technical expertise with quantitative analysis,…",,https://www.indeed.com/m/viewjob?jk=e76ea3072dcb4f67,IndeedScraperUSAEng_e76ea3072dcb4f67,IndeedScraperUSAEng,Data,USA_ENGLISH,$173000 - $242000 yearly,UNKNOWN, CA 94105,CA,San Francisco,Senior-Level
NEW,big data,Sonsoft Inc,"Durham, NC",10/9/2024,"Experience in processing structured data - Warehousing Concepts like de-duplication, cleansing, look ups, transformation, data versioning etc. At least 7+ years of overall experience.","Job types: Full-time
Job types cc: Permanent, Full-time",https://www.indeed.com/m/viewjob?jk=d93e2aa0e9fb3f09,IndeedScraperUSAEng_d93e2aa0e9fb3f09,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN, NC,NC,Durham,Entry-Level
NEW,vehicle operator - data collection,Applied Intuition,"Mountain View, CA",11/4/2024,"In this role, you will play a critical part in advancing the company's technology with your ""safety first"" mindset while collecting crucial data. HireArt is helping our client hire Vehicle Operators -…","Job types: Full-time, Contract
Benefits: Commuter assistance, Disability insurance, 401(k), Flexible spending account, Life insurance
Job types cc: Full-time, Contract",https://www.indeed.com/m/viewjob?jk=f6891a83944e65de,IndeedScraperUSAEng_f6891a83944e65de,IndeedScraperUSAEng,Data,USA_ENGLISH,$20 - $25 hourly,UNKNOWN, CA,CA,Mountain View,Entry-Level
NEW,temporary database/api back end designer,North Carolina State University,"Raleigh, NC",10/9/2024,"A database/API designer for overhauling the back end of at least one of our current apps,. Designing a centralized database for storing user interactions between apps, and creating.","Job types: Temporary
Job types cc: Temporary",https://www.indeed.com/m/viewjob?jk=13f3f2c8ec0ebaf5,IndeedScraperUSAEng_13f3f2c8ec0ebaf5,IndeedScraperUSAEng,Data,USA_ENGLISH,$55 - $60 hourly,UNKNOWN, NC,NC,Raleigh,Mid-Level
NEW,is data scientist,American Arbitration Association Inc.,"New York, NY 10271",10/19/2024,"Uphold privacy and data protection standards, considering ethical implications of data usage. Drives business results through data-based insights by leveraging variety of data mining/data analysis…","Job types: Full-time
Benefits: 403(b) matching, Loan repayment program, Health insurance, Dental insurance, Paid time off, Vision insurance, 403(b), Pet insurance
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=4638f8038fa88bb5,IndeedScraperUSAEng_4638f8038fa88bb5,IndeedScraperUSAEng,Data,USA_ENGLISH,$130000 - $140000 yearly,UNKNOWN, NY 10271,NY,New York,Mid-Level
NEW,"data scientist, shopping product",PayPal,"San Jose, CA",11/7/2024,"Experience influencing product strategy through analyses and data-centric presentations. 4+ year of data science, analytics, or consulting experience. Strong interpersonal and communication skills.","Job types: Full-time
Remote: Hybrid work
Benefits: Health insurance, Dental insurance, Vision insurance, Life insurance
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=91280b13e33e29ac,IndeedScraperUSAEng_91280b13e33e29ac,IndeedScraperUSAEng,Data,USA_ENGLISH,$72700 - $176000 yearly,TEMPORARILY_REMOTE, CA,CA,San Jose,Entry-Level
NEW,"data scientist, new college grad - 2025",Visa,"Foster City, CA",11/7/2024,Develop custom data models and algorithms to apply to data sets. Experience with extracting and aggregating data from large data sets using SQL or other tools.,"Job types: Full-time
Remote: Hybrid work
Benefits: Wellness program, Health savings account, Health insurance, Dental insurance, 401(k), Flexible spending account, Paid time off, Vision insurance, Life insurance
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=7813733a5b30066c,IndeedScraperUSAEng_7813733a5b30066c,IndeedScraperUSAEng,Data,USA_ENGLISH,,TEMPORARILY_REMOTE, CA,CA,Foster City,Entry-Level
NEW,snowflake data architect,Interas Labs.LLC,"New York, NY 10036",11/7/2024,Collaborate with cross-functional teams to analyze data requirements and ensure data integrity. Design and implement data models and ETL processes to support data warehousing solutions using Snowflake…,"Job types: Full-time
Shifts: Day shift
Remote: Hybrid work
Job types cc: Full-time
Schedules: Day shift",https://www.indeed.com/m/viewjob?jk=7d74301d5f73b269,IndeedScraperUSAEng_7d74301d5f73b269,IndeedScraperUSAEng,Data,USA_ENGLISH,$85 - $95 hourly,TEMPORARILY_REMOTE, NY 10036,NY,New York,Mid-Level
NEW,mmp interviewer/data abstractor,Public Health Management Corporation,"Philadelphia, PA 19107",10/24/2024,"Ensure the quality, accuracy, and timeliness of patient data. Review patient and data line lists weekly to determine patient care status. This full-time position is in the Philadelphia Department of…","Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=53451eea12aa87ea,IndeedScraperUSAEng_53451eea12aa87ea,IndeedScraperUSAEng,Data,USA_ENGLISH,$47000 - $47000 yearly,UNKNOWN, PA 19107,PA,Philadelphia,Entry-Level
