title,company,location,date,blurb,tags,link,id,provider,query,locale,wage,remoteness,state_zip,state,city,lower_wage,upper_wage,type,converted_yearly_lower,converted_yearly_upper,job_level
credit strategy data scientist,Bill.com,"San Jose, CA",10/3/2024,Demonstrated history of addressing business challenges using data and analytics. Minimum 2 years of experience in risk analytics or data science within credit or online payment industry.,"Benefits: Health savings account, Employee stock purchase plan, Paid holidays, Disability insurance, Health insurance, Dental insurance, 401(k), Flexible spending account, Paid time off, Employee assistance program, Vision insurance, Employee discount, Life insurance",https://www.indeed.com/m/viewjob?jk=d88ba941796f329e,IndeedScraperUSAEng_d88ba941796f329e,IndeedScraperUSAEng,Data,USA_ENGLISH,$110200 - $132100 yearly,UNKNOWN, CA,CA,San Jose,110200.0,132100.0,yearly,110200.0,132100.0,Entry-Level
database administrator,Om Tek,"Irving, TX 75038",10/5/2024,"9am to 6pm; Monday through Friday. JOB DUTIES : Design, develop, implement, test advanced software modules in complex IT environments; provide high level technical support; Utilizing Oracle Enterprise…","Job types: Full-time
Job types cc: Full-time
Schedules: Monday to Friday",https://www.indeed.com/m/viewjob?jk=f2e1c22eab5c6a13,IndeedScraperUSAEng_f2e1c22eab5c6a13,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN, TX 75038,TX,Irving,,,,,,Entry-Level
data scientist,Apple,"Cupertino, CA",11/10/2024,"Deep expertise in data and model evaluation. Solid foundation in data science, deep learning and statistics. 3+ years of experience with significant experience in large-scale data analytic.","Benefits: Employee stock purchase plan, Health insurance, Dental insurance, RSU, Retirement plan",https://www.indeed.com/m/viewjob?jk=b7898ec674cc9781,IndeedScraperUSAEng_b7898ec674cc9781,IndeedScraperUSAEng,Data,USA_ENGLISH,$143100 - $264200 yearly,UNKNOWN, CA,CA,Cupertino,143100.0,264200.0,yearly,143100.0,264200.0,Entry-Level
"reporter, data, data journalism team",The New York Times,"New York, NY",10/3/2024,"As a data reporter, you’ll combine traditional reporting with data analysis to publish stories on a variety of deadlines. You have excellent data analysis skills, with the news judgment to match, and…","Job types: Full-time
Remote: Hybrid work
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=435912f3b9db5520,IndeedScraperUSAEng_435912f3b9db5520,IndeedScraperUSAEng,Data,USA_ENGLISH,$111049.64 - $140000 yearly,TEMPORARILY_REMOTE, NY,NY,New York,111049.64,140000.0,yearly,111049.64,140000.0,Entry-Level
data solution architect,Corpay,"Dallas, TX",11/5/2024,"You have experience in enterprise data modeling, data synchronization, data and technology architecture. Supporting mission critical business applications related to data matching that include a…","Job types: Full-time
Shifts: 8 hour shift
Remote: Remote
Benefits: Dental insurance, 401(k), Paid time off, Vision insurance, Employee discount
Job types cc: Full-time
Schedules: 8 hour shift, Holidays",https://www.indeed.com/m/viewjob?jk=750814a0033da0e7,IndeedScraperUSAEng_750814a0033da0e7,IndeedScraperUSAEng,Data,USA_ENGLISH,,FULLY_REMOTE, TX,TX,Dallas,,,,,,Senior-Level
"machine learning researcher, multimodal foundation models",Apple,"Sunnyvale, CA",11/2/2024,"Summary Posted: May 30, 2024 Role Number:200526165 Imagine what you could do here. At Apple, new ideas have a way of becoming extraordinary products, services, and customer experiences very…","Benefits: Employee stock purchase plan, Health insurance, Dental insurance, RSU, Retirement plan",https://www.indeed.com/m/viewjob?jk=663fe059cf574c01,IndeedScraperUSAEng_663fe059cf574c01,IndeedScraperUSAEng,Data,USA_ENGLISH,$175800 - $312200 yearly,UNKNOWN, CA,CA,Sunnyvale,175800.0,312200.0,yearly,175800.0,312200.0,Senior-Level
data steward,Zoetis,"Parsippany-Troy Hills, NJ 07054",10/16/2024,"Experience with tools and technologies used for data governance, data quality and data cataloging. Experience in data management, data governance, data quality or a similar role is required.","Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=488fb424edd3c274,IndeedScraperUSAEng_488fb424edd3c274,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN, NJ 07054,NJ,Parsippany-Troy Hills,,,,,,Mid-Level
security officer - data center,GardaWorld Security Services U.S.,"Midlothian, TX",11/2/2024,Hourly Pay Rate: $19. Shift: applicant must have open availability and personal vehicle. GardaWorld is the world’s largest privately-owned security services company. A valid Driver's License.,Benefits: Opportunities for advancement,https://www.indeed.com/m/viewjob?jk=5d7095537e0c0c01,IndeedScraperUSAEng_5d7095537e0c0c01,IndeedScraperUSAEng,Data,USA_ENGLISH,$19 - $19 hourly,UNKNOWN, TX,TX,Midlothian,19.0,19.0,hourly,39520.0,39520.0,Entry-Level
data product researcher/strategist,CSTE,"Long Island City, NY 11101",10/9/2024,Example: Automating data flows between multiple data sources including vital statistics and registry data and an environmental health data dashboard. Example: Creating an interactive data dashboard to…,"Job types: Temporary, Full-time, Contract
Remote: Hybrid work
Benefits: Relocation assistance, Health insurance, Dental insurance, Work from home, Vision insurance, Professional development assistance, Opportunities for advancement
Job types cc: Temporary, Full-time, Contract
Schedules: Monday to Friday",https://www.indeed.com/m/viewjob?jk=a853c508224b33ae,IndeedScraperUSAEng_a853c508224b33ae,IndeedScraperUSAEng,Data,USA_ENGLISH,$95000 - $95000 yearly,TEMPORARILY_REMOTE, NY 11101,NY,Long Island City,95000.0,95000.0,yearly,95000.0,95000.0,Mid-Level
"new college grad, phd data scientist (econometrics)",Western Digital,"San Jose, CA 95119",10/5/2024,"Company Description At Western Digital, our vision is to power global innovation and push the boundaries of technology to make what you thought was once impossible, possible. At our core, Western…","Job types: Full-time
Benefits: Health savings account, AD&D insurance, Employee stock purchase plan, Disability insurance, Health insurance, Dental insurance, 401(k), RSU, Tuition reimbursement, Employee assistance program, Vision insurance, Paid sick time, Pet insurance
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=ca2a4750d29ce032,IndeedScraperUSAEng_ca2a4750d29ce032,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN, CA 95119,CA,San Jose,,,,,,Mid-Level
